train_lin,b,d,KME,E,K,n_samples,n_distributions,score,trueneg,falseneg,truepos,falsepos
[False],0.01,0.01,4,200,200,200,200,0.7447811447811448,703,197,403,182
[False],0.01,0.01,4,200,200,200,200,0.7824915824915825,778,216,384,107
[False],0.01,0.01,4,200,200,200,200,0.7367003367003367,707,213,387,178
[False],0.01,0.01,4,200,200,200,200,0.7367003367003367,723,229,371,162
[False],0.01,0.01,4,200,200,200,200,0.6983164983164983,649,212,388,236
[False],0.01,0.01,4,200,200,200,200,0.7643097643097643,736,201,399,149
[False],0.01,0.01,4,200,200,200,200,0.7676767676767676,747,207,393,138
[False],0.01,0.01,4,200,200,200,200,0.7353535353535353,716,224,376,169
[False],0.01,0.01,4,200,200,200,200,0.7393939393939394,669,171,429,216
[False],0.01,0.01,4,200,200,200,200,0.6821548821548822,545,132,468,340
[False],0.01,0.01,4,200,500,200,200,0.7582491582491583,726,200,400,159
[False],0.01,0.01,4,200,500,200,200,0.7858585858585858,811,244,356,74
[False],0.01,0.01,4,200,500,200,200,0.7488215488215488,728,216,384,157
[False],0.01,0.01,4,200,500,200,200,0.7441077441077442,720,215,385,165
[False],0.01,0.01,4,200,500,200,200,0.7016835016835017,651,209,391,234
[False],0.01,0.01,4,200,500,200,200,0.7555555555555555,744,222,378,141
[False],0.01,0.01,4,200,500,200,200,0.7636363636363637,740,206,394,145
[False],0.01,0.01,4,200,500,200,200,0.7508417508417509,719,204,396,166
[False],0.01,0.01,4,200,500,200,200,0.7427609427609427,679,176,424,206
[False],0.01,0.01,4,200,500,200,200,0.6868686868686869,552,132,468,333
[False],0.01,0.01,4,200,1000,200,200,0.7636363636363637,719,185,415,166
[False],0.01,0.01,4,200,1000,200,200,0.7932659932659932,789,211,389,96
[False],0.01,0.01,4,200,1000,200,200,0.7575757575757576,718,193,407,167
[False],0.01,0.01,4,200,1000,200,200,0.7272727272727273,691,211,389,194
[False],0.01,0.01,4,200,1000,200,200,0.6801346801346801,634,224,376,251
[False],0.01,0.01,4,200,1000,200,200,0.7643097643097643,743,208,392,142
[False],0.01,0.01,4,200,1000,200,200,0.7420875420875421,727,225,375,158
[False],0.01,0.01,4,200,1000,200,200,0.7151515151515152,684,222,378,201
[False],0.01,0.01,4,200,1000,200,200,0.7239057239057239,638,163,437,247
[False],0.01,0.01,4,200,1000,200,200,0.6828282828282828,511,97,503,374
[False],0.01,0.01,4,500,200,200,200,0.7481481481481481,702,191,409,183
[False],0.01,0.01,4,500,200,200,200,0.7703703703703704,775,231,369,110
[False],0.01,0.01,4,500,200,200,200,0.7346801346801347,711,220,380,174
[False],0.01,0.01,4,500,200,200,200,0.7265993265993266,720,241,359,165
[False],0.01,0.01,4,500,200,200,200,0.694949494949495,649,217,383,236
[False],0.01,0.01,4,500,200,200,200,0.7616161616161616,739,208,392,146
