train_lin,b,d,KME,E,K,n_samples,n_distributions,score,trueneg,falseneg,truepos,falsepos
[False],0.01,0.01,4,200,200,100,100,0.658498023715415,11060,6504,6433,2568
[False],0.01,0.01,4,200,200,100,100,0.6934312064746847,11512,6028,6909,2116
[False],0.01,0.01,4,200,200,100,100,0.6626011669489931,10697,6032,6905,2931
[False],0.01,0.01,4,200,200,100,100,0.6599284773197817,9352,4758,8179,4276
[False],0.01,0.01,4,200,200,100,100,0.662111801242236,9850,5198,7739,3778
[False],0.01,0.01,4,500,200,100,100,0.6559759081498212,11157,6668,6269,2471
[False],0.01,0.01,4,500,200,100,100,0.69004329004329,11581,6187,6750,2047
[False],0.01,0.01,4,500,200,100,100,0.6615471485036702,10783,6146,6791,2845
[False],0.01,0.01,4,500,200,100,100,0.6595143986448334,9429,4846,8091,4199
[False],0.01,0.01,4,500,200,100,100,0.662111801242236,9974,5322,7615,3654
[False],0.01,0.01,4,1000,200,100,100,0.655373611895351,11105,6632,6305,2523
[False],0.01,0.01,4,1000,200,100,100,0.6901938641069076,11583,6185,6752,2045
[False],0.01,0.01,4,1000,200,100,100,0.6643327686805948,10775,6064,6873,2853
[False],0.01,0.01,4,1000,200,100,100,0.6603425559947299,9409,4804,8133,4219
[False],0.01,0.01,4,1000,200,100,100,0.6624882364012799,9916,5254,7683,3712
[False],0.01,0.01,4,200,500,100,100,0.6613212874082439,11289,6658,6279,2339
[False],0.01,0.01,4,200,500,100,100,0.6824016563146998,11796,6605,6332,1832
[False],0.01,0.01,4,200,500,100,100,0.6664408055712403,11075,6308,6629,2553
[False],0.01,0.01,4,200,500,100,100,0.6699416525503482,9693,4833,8104,3935
[False],0.01,0.01,4,200,500,100,100,0.6689629211368342,10068,5234,7703,3560
[False],0.01,0.01,4,500,500,100,100,0.665047995482778,11313,6583,6354,2315
[False],0.01,0.01,4,500,500,100,100,0.6872200263504611,11757,6438,6499,1871
[False],0.01,0.01,4,500,500,100,100,0.6659890833803878,11048,6293,6644,2580
[False],0.01,0.01,4,500,500,100,100,0.6723131940523245,9709,4786,8151,3919
[False],0.01,0.01,4,500,500,100,100,0.6699040090344438,10063,5204,7733,3565
