linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.05,0.05,1000,0.8510069640504423,9731,61,12876,3897
False,0.05,0.05,1000,0.8499905891210239,9794,151,12786,3834
False,0.05,0.05,1000,0.8379446640316206,9482,159,12778,4146
False,0.05,0.05,1000,0.8111801242236025,8772,160,12777,4856
False,0.05,0.05,1000,0.8453604366647844,9770,250,12687,3858
False,0.05,0.05,1000,0.8616600790513834,10027,74,12863,3601
False,0.05,0.05,1000,0.8390363259928477,9424,72,12865,4204
False,0.05,0.05,1000,0.8018068887634104,8611,248,12689,5017
False,0.05,0.05,1000,0.8312064746847355,9485,341,12596,4143
False,0.05,0.05,1000,0.8601543384152079,9961,48,12889,3667
False,0.05,0.05,10000,0.9419913419913419,12962,875,12062,666
False,0.05,0.05,10000,0.8819875776397516,12648,2155,10782,980
False,0.05,0.05,10000,0.7777903256164126,12462,4737,8200,1166
False,0.05,0.05,10000,0.9136457745153397,12891,1557,11380,737
False,0.05,0.05,10000,0.8452098626011669,12980,3464,9473,648
False,0.05,0.05,10000,0.8571052136269528,12904,3072,9865,724
False,0.05,0.05,10000,0.9540749105966497,13230,822,12115,398
False,0.05,0.05,10000,0.8593261810653114,12932,3041,9896,696
False,0.05,0.05,10000,0.9000188217579522,12981,2009,10928,647
False,0.05,0.05,10000,0.6513081121776774,10963,6598,6339,2665
True,0,0,1000,0.8554488989271598,9857,69,12868,3771
True,0,0,1000,0.8413702239789196,9489,75,12862,4139
True,0,0,1000,0.8224731789949181,9029,117,12820,4599
True,0,0,1000,0.8603801995106343,10022,103,12834,3606
True,0,0,1000,0.8603801995106343,9985,66,12871,3643
True,0,0,1000,0.8449840015057406,9580,70,12867,4048
True,0,0,1000,0.8331639375117637,9257,61,12876,4371
True,0,0,1000,0.8626388104648974,10007,28,12909,3621
True,0,0,1000,0.854394880481837,9848,88,12849,3780
True,0,0,1000,0.8544701675136458,9827,65,12872,3801
True,0.01,0,1000,0.854394880481837,9864,104,12833,3764
True,0.01,0,1000,0.8619988706945229,10053,91,12846,3575
True,0.01,0,1000,0.8602296254470168,9957,42,12895,3671
True,0.01,0,1000,0.8607942781855825,10029,99,12838,3599
