linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.01,100,0.5197816676077546,930,59,12878,12698
False,0.01,0.01,100,0.5358554488989271,1308,10,12927,12320
False,0.01,0.01,100,0.527536231884058,1089,12,12925,12539
False,0.01,0.01,100,0.516205533596838,1054,278,12659,12574
False,0.01,0.01,100,0.5233201581027668,1036,71,12866,12592
False,0.01,0.01,100,0.5475249388292867,1661,53,12884,11967
False,0.01,0.01,100,0.510935441370224,775,139,12798,12853
False,0.01,0.01,100,0.5175983436853002,894,81,12856,12734
False,0.01,0.01,100,0.5414266892527761,1519,73,12864,12109
False,0.01,0.01,100,0.5453416149068323,1661,111,12826,11967
False,0.01,0.05,100,0.5304347826086957,1184,30,12907,12444
False,0.01,0.05,100,0.5541125541125541,1821,38,12899,11807
False,0.01,0.05,100,0.5584415584415585,1933,35,12902,11695
False,0.01,0.05,100,0.5490683229813664,1687,38,12899,11941
False,0.01,0.05,100,0.5229060794278186,1044,90,12847,12584
False,0.01,0.05,100,0.508488612836439,697,126,12811,12931
False,0.01,0.05,100,0.5319781667607755,1272,77,12860,12356
False,0.01,0.05,100,0.5450404667795972,1607,65,12872,12021
False,0.01,0.05,100,0.5124411820063994,705,29,12908,12923
False,0.01,0.05,100,0.5206474684735554,975,81,12856,12653
False,0.05,0.01,100,0.5345002823263693,1330,68,12869,12298
False,0.05,0.01,100,0.522755505364201,1019,69,12868,12609
False,0.05,0.01,100,0.5304347826086957,1220,66,12871,12408
False,0.05,0.01,100,0.5493694711086016,1681,24,12913,11947
False,0.05,0.01,100,0.5285526068134764,1132,28,12909,12496
False,0.05,0.01,100,0.5200075287031809,913,36,12901,12715
False,0.05,0.01,100,0.5220402785620177,1059,128,12809,12569
False,0.05,0.01,100,0.5139845661584792,760,43,12894,12868
False,0.05,0.01,100,0.5321663843402974,1327,127,12810,12301
False,0.05,0.01,100,0.5524562394127612,1780,41,12896,11848
False,0.05,0.05,100,0.5207603990212686,912,15,12922,12716
False,0.05,0.05,100,0.5448898927159797,1661,123,12814,11967
False,0.05,0.05,100,0.5220402785620177,955,24,12913,12673
