linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.01,200,0.5427609427609428,206,0,600,679
False,0.01,0.01,200,0.5723905723905724,256,6,594,629
False,0.01,0.01,200,0.5111111111111111,159,0,600,726
False,0.01,0.01,200,0.4639730639730639,89,0,600,796
False,0.01,0.01,200,0.6296296296296297,339,4,596,546
False,0.01,0.01,200,0.5286195286195285,187,2,598,698
False,0.01,0.01,200,0.5818181818181818,264,0,600,621
False,0.01,0.01,200,0.5750841750841751,256,2,598,629
False,0.01,0.01,200,0.5501683501683502,218,1,599,667
False,0.01,0.01,200,0.593939393939394,286,4,596,599
False,0.01,0.01,200,0.5353535353535354,196,1,599,689
False,0.01,0.01,200,0.5845117845117845,268,0,600,617
False,0.01,0.01,200,0.5737373737373737,253,1,599,632
False,0.01,0.01,200,0.635016835016835,346,3,597,539
False,0.01,0.01,200,0.5063973063973064,167,15,585,718
False,0.01,0.01,200,0.5326599326599326,191,0,600,694
False,0.01,0.01,200,0.5973063973063972,288,1,599,597
False,0.01,0.01,200,0.49158249158249157,130,0,600,755
False,0.01,0.01,200,0.5259259259259259,181,0,600,704
False,0.01,0.01,200,0.5414141414141413,209,5,595,676
False,0.01,0.01,200,0.5683501683501684,246,2,598,639
False,0.01,0.01,200,0.48484848484848486,121,1,599,764
False,0.01,0.01,200,0.567003367003367,242,0,600,643
False,0.01,0.01,200,0.602020202020202,296,2,598,589
False,0.01,0.01,200,0.52996632996633,188,1,599,697
False,0.01,0.01,200,0.5905723905723905,285,8,592,600
False,0.01,0.01,200,0.5117845117845118,161,1,599,724
False,0.01,0.01,200,0.5595959595959596,231,0,600,654
False,0.01,0.01,200,0.5683501683501684,247,3,597,638
False,0.01,0.01,200,0.5454545454545454,213,3,597,672
False,0.01,0.01,200,0.503030303030303,163,16,584,722
False,0.01,0.01,200,0.5797979797979798,266,5,595,619
False,0.01,0.01,200,0.5508417508417509,225,7,593,660
False,0.01,0.01,200,0.5575757575757576,234,6,594,651
False,0.01,0.01,200,0.5333333333333333,203,11,589,682
False,0.01,0.01,200,0.5111111111111111,159,0,600,726
False,0.01,0.01,200,0.5838383838383838,267,0,600,618
False,0.01,0.01,200,0.569023569023569,257,12,588,628
False,0.01,0.01,200,0.5373737373737374,200,2,598,685
False,0.01,0.01,200,0.5946127946127946,284,1,599,601
False,0.01,0.01,200,0.509090909090909,161,5,595,724
False,0.01,0.01,200,0.6013468013468013,293,0,600,592
False,0.01,0.01,200,0.5420875420875421,206,1,599,679
False,0.01,0.01,200,0.5656565656565656,243,3,597,642
False,0.01,0.01,200,0.5360269360269361,196,0,600,689
False,0.01,0.01,200,0.6033670033670033,301,5,595,584
False,0.01,0.01,200,0.61010101010101,307,1,599,578
False,0.01,0.01,200,0.4882154882154882,126,1,599,759
False,0.01,0.01,200,0.5932659932659933,282,1,599,603
False,0.01,0.01,200,0.5791245791245792,263,3,597,622
False,0.01,0.05,200,0.5488215488215489,216,1,599,669
False,0.01,0.05,200,0.6208754208754208,325,3,597,560
False,0.01,0.05,200,0.5521885521885521,222,2,598,663
False,0.01,0.05,200,0.6047138047138048,305,7,593,580
False,0.01,0.05,200,0.5427609427609428,211,5,595,674
False,0.01,0.05,200,0.5885521885521885,275,1,599,610
False,0.01,0.05,200,0.5501683501683502,221,4,596,664
False,0.01,0.05,200,0.573063973063973,255,4,596,630
False,0.01,0.05,200,0.61010101010101,312,6,594,573
False,0.01,0.05,200,0.591919191919192,281,2,598,604
False,0.01,0.05,200,0.501010101010101,146,2,598,739
False,0.01,0.05,200,0.5414141414141413,204,0,600,681
False,0.01,0.05,200,0.6047138047138048,301,3,597,584
False,0.01,0.05,200,0.5818181818181818,267,3,597,618
False,0.01,0.05,200,0.6579124579124579,378,1,599,507
