linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.01,200,0.5151515151515151,166,1,599,719
False,0.01,0.01,200,0.5367003367003367,200,3,597,685
False,0.01,0.01,200,0.5925925925925926,285,5,595,600
False,0.01,0.01,200,0.5468013468013468,212,0,600,673
False,0.01,0.01,200,0.5373737373737374,205,7,593,680
False,0.01,0.01,200,0.503030303030303,147,0,600,738
False,0.01,0.01,200,0.5292929292929294,186,0,600,699
False,0.01,0.01,200,0.5313131313131313,192,3,597,693
False,0.01,0.01,200,0.45791245791245794,89,9,591,796
False,0.01,0.01,200,0.6471380471380471,362,1,599,523
False,0.01,0.01,200,0.5454545454545454,210,0,600,675
False,0.01,0.01,200,0.6026936026936027,295,0,600,590
False,0.01,0.01,200,0.5043771043771044,151,2,598,734
False,0.01,0.01,200,0.5703703703703704,264,17,583,621
False,0.01,0.01,200,0.5723905723905724,261,11,589,624
False,0.01,0.01,200,0.635016835016835,344,1,599,541
False,0.01,0.01,200,0.5043771043771044,151,2,598,734
False,0.01,0.01,200,0.6518518518518519,369,1,599,516
False,0.01,0.01,200,0.5750841750841751,258,4,596,627
False,0.01,0.01,200,0.5474747474747474,213,0,600,672
False,0.01,0.01,200,0.5508417508417509,220,2,598,665
False,0.01,0.01,200,0.5845117845117845,269,1,599,616
False,0.01,0.01,200,0.4868686868686869,123,0,600,762
False,0.01,0.01,200,0.5824915824915825,273,8,592,612
False,0.01,0.01,200,0.6006734006734007,292,0,600,593
False,0.01,0.01,200,0.5097643097643098,158,1,599,727
False,0.01,0.01,200,0.6316498316498316,341,3,597,544
False,0.01,0.01,200,0.5764309764309764,256,0,600,629
False,0.01,0.01,200,0.5434343434343434,210,3,597,675
False,0.01,0.01,200,0.5764309764309764,263,7,593,622
False,0.01,0.01,200,0.5542087542087542,234,11,589,651
False,0.01,0.01,200,0.6107744107744107,312,5,595,573
False,0.01,0.01,200,0.5696969696969697,247,1,599,638
False,0.01,0.01,200,0.6,291,0,600,594
False,0.01,0.01,200,0.5744107744107745,254,1,599,631
False,0.01,0.01,200,0.531986531986532,190,0,600,695
False,0.01,0.01,200,0.5111111111111111,160,1,599,725
False,0.01,0.01,200,0.5973063973063972,290,3,597,595
False,0.01,0.01,200,0.5946127946127946,284,1,599,601
False,0.01,0.01,200,0.6228956228956228,332,7,593,553
False,0.01,0.01,200,0.5696969696969697,251,5,595,634
False,0.01,0.01,200,0.5333333333333333,196,4,596,689
False,0.01,0.01,200,0.5548821548821549,224,0,600,661
False,0.01,0.01,200,0.6121212121212121,310,1,599,575
False,0.01,0.01,200,0.5892255892255892,286,11,589,599
