linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.01,200,0.7865319865319865,569,1,599,316
False,0.01,0.01,200,0.7131313131313131,474,15,585,411
False,0.01,0.01,200,0.8222222222222222,621,0,600,264
False,0.01,0.01,200,0.769023569023569,550,8,592,335
False,0.01,0.01,200,0.8242424242424242,632,8,592,253
False,0.01,0.01,200,0.6942760942760943,435,4,596,450
False,0.01,0.01,200,0.7367003367003366,496,2,598,389
False,0.01,0.01,200,0.7824915824915825,566,4,596,319
False,0.01,0.01,200,0.6491582491582492,375,11,589,510
False,0.01,0.01,200,0.7346801346801346,492,1,599,393
False,0.01,0.01,200,0.731986531986532,489,2,598,396
False,0.01,0.01,200,0.7488215488215488,517,5,595,368
False,0.01,0.01,200,0.672053872053872,404,6,594,481
False,0.01,0.01,200,0.6956228956228956,455,22,578,430
False,0.01,0.01,200,0.7414141414141414,505,4,596,380
False,0.01,0.01,200,0.731986531986532,492,5,595,393
False,0.01,0.01,200,0.703030303030303,458,14,586,427
False,0.01,0.01,200,0.6430976430976432,368,13,587,517
False,0.01,0.01,200,0.5771043771043771,258,1,599,627
False,0.01,0.01,200,0.705050505050505,449,2,598,436
False,0.01,0.01,200,0.8168350168350168,618,5,595,267
False,0.01,0.01,200,0.7333333333333334,523,34,566,362
False,0.01,0.01,200,0.8114478114478114,605,0,600,280
False,0.01,0.01,200,0.7454545454545455,507,0,600,378
False,0.01,0.01,200,0.7239057239057238,501,26,574,384
False,0.01,0.01,200,0.7205387205387206,482,12,588,403
False,0.01,0.01,200,0.7656565656565657,570,33,567,315
False,0.01,0.01,200,0.7272727272727273,515,35,565,370
False,0.01,0.01,200,0.6841750841750842,419,3,597,466
False,0.01,0.01,200,0.6498316498316499,370,5,595,515
False,0.01,0.01,200,0.6047138047138048,304,6,594,581
False,0.01,0.01,200,0.7643097643097643,549,14,586,336
False,0.01,0.01,200,0.7737373737373737,558,9,591,327
False,0.01,0.01,200,0.736026936026936,523,30,570,362
False,0.01,0.01,200,0.7070707070707071,469,19,581,416
False,0.01,0.01,200,0.7771043771043771,555,1,599,330
False,0.01,0.01,200,0.7191919191919192,472,4,596,413
False,0.01,0.01,200,0.7548821548821549,527,6,594,358
False,0.01,0.01,200,0.6511784511784512,372,5,595,513
False,0.01,0.01,200,0.7575757575757576,534,9,591,351
False,0.01,0.01,200,0.7643097643097643,539,4,596,346
False,0.01,0.01,200,0.6565656565656566,404,29,571,481
False,0.01,0.01,200,0.7239057239057238,494,19,581,391
False,0.01,0.01,200,0.6787878787878787,409,1,599,476
False,0.01,0.01,200,0.7508417508417509,522,7,593,363
False,0.01,0.01,200,0.7218855218855219,511,39,561,374
False,0.01,0.01,200,0.7393939393939394,502,4,596,383
False,0.01,0.01,200,0.7333333333333334,499,10,590,386
False,0.01,0.01,200,0.6410774410774411,360,8,592,525
False,0.01,0.01,200,0.7683501683501683,576,35,565,309
False,0.01,0.01,200,0.705050505050505,470,23,577,415
False,0.01,0.01,200,0.5865319865319865,291,20,580,594
False,0.01,0.01,200,0.6915824915824915,462,35,565,423
False,0.01,0.01,200,0.7771043771043771,555,1,599,330
False,0.01,0.01,200,0.7131313131313131,475,16,584,410
