linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.01,200,0.591919191919192,282,3,597,603
False,0.01,0.01,200,0.6255892255892256,329,0,600,556
False,0.01,0.01,200,0.531986531986532,193,3,597,692
False,0.01,0.01,200,0.5750841750841751,261,7,593,624
False,0.01,0.01,200,0.602020202020202,295,1,599,590
False,0.01,0.01,200,0.5865319865319865,275,4,596,610
False,0.01,0.01,200,0.6242424242424243,334,7,593,551
False,0.01,0.01,200,0.6121212121212121,311,2,598,574
False,0.01,0.01,200,0.6202020202020202,322,1,599,563
False,0.01,0.01,200,0.5198653198653198,173,1,599,712
False,0.01,0.01,200,0.5656565656565656,240,0,600,645
False,0.01,0.01,200,0.5663299663299664,242,1,599,643
False,0.01,0.01,200,0.5616161616161617,235,1,599,650
False,0.01,0.01,200,0.5272727272727273,184,1,599,701
False,0.01,0.01,200,0.5771043771043771,270,13,587,615
False,0.01,0.01,200,0.6363636363636364,346,1,599,539
False,0.01,0.01,200,0.5454545454545454,210,0,600,675
False,0.01,0.01,200,0.5454545454545454,210,0,600,675
False,0.01,0.01,200,0.5750841750841751,263,9,591,622
False,0.01,0.01,200,0.5191919191919192,176,5,595,709
False,0.01,0.01,200,0.5703703703703704,248,1,599,637
False,0.01,0.01,200,0.5811447811447812,263,0,600,622
False,0.01,0.01,200,0.5124579124579125,167,6,594,718
False,0.01,0.01,200,0.531986531986532,191,1,599,694
False,0.01,0.01,200,0.5468013468013468,214,2,598,671
False,0.01,0.01,200,0.5986531986531987,292,3,597,593
False,0.01,0.01,200,0.5946127946127946,283,0,600,602
False,0.01,0.01,200,0.6127946127946128,311,1,599,574
False,0.01,0.01,200,0.5851851851851853,269,0,600,616
False,0.01,0.01,200,0.5265993265993266,182,0,600,703
False,0.01,0.01,200,0.608080808080808,304,1,599,581
False,0.01,0.01,200,0.5306397306397306,195,7,593,690
False,0.01,0.01,200,0.5548821548821549,224,0,600,661
False,0.01,0.01,200,0.5845117845117845,269,1,599,616
False,0.01,0.01,200,0.5212121212121212,181,7,593,704
False,0.01,0.01,200,0.5676767676767677,245,2,598,640
False,0.01,0.01,200,0.5575757575757576,230,2,598,655
False,0.01,0.01,200,0.5649831649831649,243,4,596,642
False,0.01,0.01,200,0.5804713804713805,266,4,596,619
False,0.01,0.01,200,0.5138047138047138,172,9,591,713
False,0.01,0.01,200,0.5023569023569023,154,8,592,731
False,0.01,0.01,200,0.6505050505050505,368,2,598,517
False,0.01,0.01,200,0.6525252525252525,370,1,599,515
False,0.01,0.01,200,0.5649831649831649,244,5,595,641
False,0.01,0.01,200,0.5212121212121212,175,1,599,710
False,0.01,0.01,200,0.4942760942760943,137,3,597,748
False,0.01,0.01,200,0.5326599326599326,191,0,600,694
False,0.01,0.01,200,0.4936026936026936,139,6,594,746
False,0.01,0.01,200,0.5272727272727273,186,3,597,699
False,0.01,0.01,200,0.49090909090909096,131,2,598,754
False,0.01,0.05,200,0.5649831649831649,240,1,599,645
False,0.01,0.05,200,0.5286195286195285,185,0,600,700
False,0.01,0.05,200,0.5353535353535354,200,5,595,685
False,0.01,0.05,200,0.591919191919192,279,0,600,606
False,0.01,0.05,200,0.5191919191919192,174,3,597,711
False,0.01,0.05,200,0.5407407407407407,203,0,600,682
False,0.01,0.05,200,0.5434343434343434,207,0,600,678
False,0.01,0.05,200,0.5494949494949495,217,1,599,668
False,0.01,0.05,200,0.5272727272727273,183,0,600,702
False,0.01,0.05,200,0.5333333333333333,192,0,600,693
False,0.01,0.05,200,0.5494949494949495,218,2,598,667
False,0.01,0.05,200,0.5265993265993266,189,7,593,696
False,0.01,0.05,200,0.5218855218855218,175,0,600,710
False,0.01,0.05,200,0.5063973063973064,163,11,589,722
False,0.01,0.05,200,0.5494949494949495,216,0,600,669
False,0.01,0.05,200,0.5360269360269361,199,3,597,686
False,0.01,0.05,200,0.5077441077441077,155,1,599,730
False,0.01,0.05,200,0.52996632996633,188,1,599,697
False,0.01,0.05,200,0.6188552188552189,322,3,597,563
False,0.01,0.05,200,0.4942760942760943,143,9,591,742
False,0.01,0.05,200,0.5771043771043771,258,1,599,627
False,0.01,0.05,200,0.5158249158249157,166,0,600,719
False,0.01,0.05,200,0.5259259259259259,181,0,600,704
False,0.01,0.05,200,0.5077441077441077,161,7,593,724
False,0.01,0.05,200,0.5744107744107745,257,4,596,628
False,0.01,0.05,200,0.5744107744107745,258,5,595,627
False,0.01,0.05,200,0.5259259259259259,184,3,597,701
False,0.01,0.05,200,0.5575757575757576,233,5,595,652
False,0.01,0.05,200,0.5185185185185186,171,1,599,714
False,0.01,0.05,200,0.5461279461279461,213,2,598,672
False,0.01,0.05,200,0.5643097643097643,238,0,600,647
False,0.01,0.05,200,0.5696969696969697,249,3,597,636
False,0.01,0.05,200,0.5367003367003367,201,4,596,684
False,0.01,0.05,200,0.5023569023569023,152,6,594,733
False,0.01,0.05,200,0.571043771043771,249,1,599,636
False,0.01,0.05,200,0.5784511784511784,264,5,595,621
False,0.01,0.05,200,0.5474747474747474,217,4,596,668
False,0.01,0.05,200,0.5205387205387205,177,4,596,708
False,0.01,0.05,200,0.5703703703703704,247,0,600,638
False,0.01,0.05,200,0.5245791245791246,182,3,597,703
False,0.01,0.05,200,0.5872053872053873,272,0,600,613
False,0.01,0.05,200,0.6026936026936027,299,4,596,586
False,0.01,0.05,200,0.5151515151515151,166,1,599,719
False,0.01,0.05,200,0.5777777777777777,260,2,598,625
False,0.01,0.05,200,0.5420875420875421,214,9,591,671
False,0.01,0.05,200,0.6134680134680135,314,3,597,571
False,0.01,0.05,200,0.595959595959596,293,8,592,592
False,0.01,0.05,200,0.5306397306397306,188,0,600,697
False,0.01,0.05,200,0.569023569023569,246,1,599,639
False,0.01,0.05,200,0.5407407407407407,203,0,600,682
False,0.05,0.01,200,0.5016835016835017,146,1,599,739
False,0.05,0.01,200,0.6269360269360269,332,1,599,553
False,0.05,0.01,200,0.6222222222222222,324,0,600,561
False,0.05,0.01,200,0.5138047138047138,171,8,592,714
False,0.05,0.01,200,0.5488215488215489,238,23,577,647
False,0.05,0.01,200,0.5535353535353535,223,1,599,662
False,0.05,0.01,200,0.5629629629629629,239,3,597,646
False,0.05,0.01,200,0.48350168350168354,119,1,599,766
False,0.05,0.01,200,0.5239057239057239,189,11,589,696
False,0.05,0.01,200,0.6013468013468013,296,3,597,589
False,0.05,0.01,200,0.6141414141414141,312,0,600,573
False,0.05,0.01,200,0.5797979797979798,261,0,600,624
False,0.05,0.01,200,0.4936026936026936,136,3,597,749
False,0.05,0.01,200,0.5892255892255892,299,24,576,586
False,0.05,0.01,200,0.5589225589225589,230,0,600,655
False,0.05,0.01,200,0.6148148148148148,313,0,600,572
False,0.05,0.01,200,0.5993265993265993,293,3,597,592
False,0.05,0.01,200,0.5265993265993266,183,1,599,702
False,0.05,0.01,200,0.5932659932659933,281,0,600,604
False,0.05,0.01,200,0.5515151515151515,221,2,598,664
False,0.05,0.01,200,0.573063973063973,255,4,596,630
False,0.05,0.01,200,0.5306397306397306,188,0,600,697
False,0.05,0.01,200,0.5003367003367003,143,0,600,742
False,0.05,0.01,200,0.49696969696969695,143,5,595,742
False,0.05,0.01,200,0.5932659932659933,287,6,594,598
False,0.05,0.01,200,0.5838383838383838,267,0,600,618
False,0.05,0.01,200,0.5885521885521885,274,0,600,611
False,0.05,0.01,200,0.5548821548821549,225,1,599,660
False,0.05,0.01,200,0.5784511784511784,265,6,594,620
False,0.05,0.01,200,0.5461279461279461,218,7,593,667
False,0.05,0.01,200,0.5892255892255892,279,4,596,606
False,0.05,0.01,200,0.5501683501683502,220,3,597,665
False,0.05,0.01,200,0.5649831649831649,243,4,596,642
False,0.05,0.01,200,0.5286195286195285,196,11,589,689
False,0.05,0.01,200,0.5138047138047138,163,0,600,722
False,0.05,0.01,200,0.591919191919192,285,6,594,600
False,0.05,0.01,200,0.4855218855218856,121,0,600,764
False,0.05,0.01,200,0.5138047138047138,181,18,582,704
False,0.05,0.01,200,0.5488215488215489,234,19,581,651
False,0.05,0.01,200,0.5441077441077441,210,2,598,675
False,0.05,0.01,200,0.5380471380471381,199,0,600,686
False,0.05,0.01,200,0.604040404040404,302,5,595,583
False,0.05,0.01,200,0.48484848484848486,127,7,593,758
False,0.05,0.01,200,0.5447811447811448,209,0,600,676
False,0.05,0.01,200,0.5535353535353535,223,1,599,662
False,0.05,0.01,200,0.6303030303030304,341,5,595,544
False,0.05,0.01,200,0.5407407407407407,211,8,592,674
False,0.05,0.01,200,0.5515151515151515,221,2,598,664
False,0.05,0.01,200,0.5245791245791246,185,6,594,700
False,0.05,0.01,200,0.5925925925925926,286,6,594,599
False,0.05,0.05,200,0.5481481481481482,217,3,597,668
False,0.05,0.05,200,0.5043771043771044,162,13,587,723
