linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.01,200,0.7966329966329966,589,6,594,296
False,0.01,0.01,200,0.5649831649831649,239,0,600,646
False,0.01,0.01,200,0.7582491582491583,526,0,600,359
False,0.01,0.01,200,0.5865319865319865,271,0,600,614
False,0.01,0.01,200,0.5138047138047138,165,2,598,720
False,0.01,0.01,200,0.5158249158249157,172,6,594,713
False,0.01,0.01,200,0.6026936026936027,299,4,596,586
False,0.01,0.01,200,0.6067340067340068,304,3,597,581
False,0.01,0.01,200,0.6370370370370371,346,0,600,539
False,0.01,0.01,200,0.7454545454545455,527,20,580,358
False,0.01,0.01,200,0.6444444444444444,359,2,598,526
False,0.01,0.01,200,0.635016835016835,348,5,595,537
False,0.01,0.01,200,0.7144781144781145,462,1,599,423
False,0.01,0.01,200,0.5333333333333333,199,7,593,686
False,0.01,0.01,200,0.6868686868686869,423,3,597,462
False,0.01,0.01,200,0.5131313131313131,163,1,599,722
False,0.01,0.01,200,0.5454545454545454,215,5,595,670
False,0.01,0.01,200,0.6579124579124579,382,5,595,503
False,0.01,0.01,200,0.6983164983164983,439,2,598,446
False,0.01,0.01,200,0.6121212121212121,310,1,599,575
False,0.01,0.01,200,0.6646464646464647,387,0,600,498
False,0.01,0.01,200,0.6114478114478115,311,3,597,574
False,0.01,0.01,200,0.6545454545454545,384,12,588,501
False,0.01,0.01,200,0.6727272727272727,401,2,598,484
False,0.01,0.01,200,0.573063973063973,261,10,590,624
False,0.01,0.01,200,0.6397306397306397,358,8,592,527
False,0.01,0.01,200,0.661952861952862,384,1,599,501
False,0.01,0.01,200,0.6942760942760943,434,3,597,451
False,0.01,0.01,200,0.6,296,5,595,589
False,0.01,0.01,200,0.7084175084175084,453,1,599,432
False,0.01,0.01,200,0.7245791245791247,478,2,598,407
False,0.01,0.01,200,0.569023569023569,250,5,595,635
False,0.01,0.01,200,0.7528619528619529,521,3,597,364
False,0.01,0.01,200,0.6457912457912458,363,4,596,522
False,0.01,0.01,200,0.6861952861952862,420,1,599,465
False,0.01,0.01,200,0.6888888888888889,425,2,598,460
False,0.01,0.01,200,0.6882154882154883,425,3,597,460
False,0.01,0.01,200,0.6942760942760943,432,1,599,453
False,0.01,0.01,200,0.6471380471380471,363,2,598,522
False,0.01,0.01,200,0.6612794612794612,385,3,597,500
False,0.01,0.01,200,0.6471380471380471,366,5,595,519
False,0.01,0.01,200,0.6181818181818182,320,2,598,565
False,0.01,0.01,200,0.7144781144781145,463,2,598,422
False,0.01,0.01,200,0.6895622895622895,428,4,596,457
False,0.01,0.01,200,0.694949494949495,441,9,591,444
False,0.01,0.01,200,0.7367003367003366,498,4,596,387
False,0.01,0.01,200,0.5966329966329966,294,8,592,591
