linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.01,200,0.6026936026936027,301,6,594,584
False,0.01,0.01,200,0.5737373737373737,253,1,599,632
False,0.01,0.01,200,0.5380471380471381,199,0,600,686
False,0.01,0.01,200,0.5528619528619529,221,0,600,664
False,0.01,0.01,200,0.5622895622895623,239,4,596,646
False,0.01,0.01,200,0.5124579124579125,171,10,590,714
False,0.01,0.01,200,0.5797979797979798,262,1,599,623
False,0.01,0.01,200,0.5831649831649832,280,14,586,605
False,0.01,0.01,200,0.5811447811447812,264,1,599,621
False,0.01,0.01,200,0.5454545454545454,210,0,600,675
False,0.01,0.05,200,0.567003367003367,244,2,598,641
False,0.01,0.05,200,0.5521885521885521,232,12,588,653
False,0.01,0.05,200,0.6747474747474748,402,0,600,483
False,0.01,0.05,200,0.6242424242424243,327,0,600,558
False,0.01,0.05,200,0.5582491582491582,245,16,584,640
False,0.01,0.05,200,0.5595959595959596,241,10,590,644
False,0.01,0.05,200,0.6013468013468013,297,4,596,588
False,0.01,0.05,200,0.5508417508417509,223,5,595,662
False,0.01,0.05,200,0.6175084175084176,336,19,581,549
False,0.01,0.05,200,0.571043771043771,251,3,597,634
False,0.05,0.01,200,0.5865319865319865,277,6,594,608
False,0.05,0.01,200,0.5750841750841751,257,3,597,628
False,0.05,0.01,200,0.6067340067340068,301,0,600,584
False,0.05,0.01,200,0.5791245791245792,276,16,584,609
False,0.05,0.01,200,0.5784511784511784,265,6,594,620
False,0.05,0.01,200,0.6188552188552189,319,0,600,566
False,0.05,0.01,200,0.571043771043771,249,1,599,636
False,0.05,0.01,200,0.5791245791245792,260,0,600,625
False,0.05,0.01,200,0.595959595959596,290,5,595,595
False,0.05,0.01,200,0.5925925925925926,281,1,599,604
False,0.05,0.05,200,0.5373737373737374,203,5,595,682
False,0.05,0.05,200,0.5575757575757576,230,2,598,655
False,0.05,0.05,200,0.5232323232323233,181,4,596,704
False,0.05,0.05,200,0.6282828282828283,336,3,597,549
False,0.05,0.05,200,0.6336700336700336,344,3,597,541
False,0.05,0.05,200,0.5535353535353535,228,6,594,657
False,0.05,0.05,200,0.5898989898989899,282,6,594,603
False,0.05,0.05,200,0.6107744107744107,309,2,598,576
False,0.05,0.05,200,0.6013468013468013,295,2,598,590
False,0.05,0.05,200,0.6060606060606061,302,2,598,583
False,0.01,0.01,500,0.7461279461279462,516,8,592,369
False,0.01,0.01,500,0.7245791245791247,476,0,600,409
False,0.01,0.01,500,0.775084175084175,553,2,598,332
False,0.01,0.01,500,0.767003367003367,540,1,599,345
False,0.01,0.01,500,0.6962962962962963,437,3,597,448
False,0.01,0.01,500,0.7117845117845119,460,3,597,425
False,0.01,0.01,500,0.7097643097643098,481,27,573,404
False,0.01,0.01,500,0.7609427609427609,530,0,600,355
False,0.01,0.01,500,0.7494949494949494,515,2,598,370
False,0.01,0.01,500,0.7488215488215488,516,4,596,369
False,0.01,0.05,500,0.7205387205387206,471,1,599,414
False,0.01,0.05,500,0.7326599326599327,495,7,593,390
False,0.01,0.05,500,0.6895622895622895,429,5,595,456
False,0.01,0.05,500,0.7400673400673401,504,5,595,381
False,0.01,0.05,500,0.7542087542087542,520,0,600,365
False,0.01,0.05,500,0.7138047138047139,482,22,578,403
False,0.01,0.05,500,0.7555555555555555,534,12,588,351
False,0.01,0.05,500,0.764983164983165,541,5,595,344
False,0.01,0.05,500,0.7185185185185186,479,12,588,406
False,0.01,0.05,500,0.7239057239057238,475,0,600,410
False,0.05,0.01,500,0.7313131313131314,488,2,598,397
False,0.05,0.01,500,0.7306397306397306,488,3,597,397
False,0.05,0.01,500,0.7225589225589226,475,2,598,410
False,0.05,0.01,500,0.7683501683501683,541,0,600,344
False,0.05,0.01,500,0.6909090909090909,435,9,591,450
False,0.05,0.01,500,0.773063973063973,551,3,597,334
False,0.05,0.01,500,0.7299663299663299,488,4,596,397
False,0.05,0.01,500,0.67003367003367,397,2,598,488
