linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.01,200,0.7885521885521886,582,11,589,303
False,0.01,0.01,200,0.7077441077441078,454,3,597,431
False,0.01,0.01,200,0.7191919191919192,471,3,597,414
False,0.01,0.01,200,0.7373737373737373,504,9,591,381
False,0.01,0.01,200,0.7494949494949494,520,7,593,365
False,0.01,0.01,200,0.7831649831649832,572,9,591,313
False,0.01,0.01,200,0.6835016835016835,456,41,559,429
False,0.01,0.01,200,0.6909090909090909,431,5,595,454
False,0.01,0.01,200,0.7717171717171717,559,13,587,326
False,0.01,0.01,200,0.6013468013468013,306,13,587,579
False,0.01,0.01,200,0.6249158249158249,332,4,596,553
False,0.01,0.01,200,0.6592592592592592,421,42,558,464
False,0.01,0.01,200,0.6888888888888889,431,8,592,454
False,0.01,0.01,200,0.7299663299663299,493,9,591,392
False,0.01,0.01,200,0.6538720538720539,394,23,577,491
False,0.01,0.01,200,0.7191919191919192,468,0,600,417
False,0.01,0.01,200,0.7824915824915825,591,29,571,294
False,0.01,0.01,200,0.7468013468013468,515,6,594,370
False,0.01,0.01,200,0.6962962962962963,437,3,597,448
False,0.01,0.01,200,0.7232323232323232,476,2,598,409
False,0.01,0.01,200,0.7858585858585858,575,8,592,310
False,0.01,0.01,200,0.8390572390572391,654,8,592,231
False,0.01,0.01,200,0.6882154882154883,424,2,598,461
False,0.01,0.01,200,0.736026936026936,503,10,590,382
False,0.01,0.01,200,0.7515151515151515,533,17,583,352
False,0.01,0.01,200,0.7151515151515151,477,15,585,408
False,0.01,0.01,200,0.6895622895622895,461,37,563,424
False,0.01,0.01,200,0.7676767676767677,546,6,594,339
False,0.01,0.01,200,0.7218855218855219,490,18,582,395
False,0.01,0.01,200,0.7037037037037037,466,21,579,419
False,0.01,0.01,200,0.7346801346801346,496,5,595,389
False,0.01,0.01,200,0.7892255892255893,573,1,599,312
False,0.01,0.01,200,0.7501683501683502,515,1,599,370
False,0.01,0.01,200,0.7555555555555555,537,15,585,348
False,0.01,0.01,200,0.7885521885521886,593,22,578,292
False,0.01,0.01,200,0.8175084175084175,617,3,597,268
False,0.01,0.01,200,0.7427609427609427,529,26,574,356
False,0.01,0.01,200,0.7643097643097643,536,1,599,349
False,0.01,0.01,200,0.7845117845117845,582,17,583,303
False,0.01,0.01,200,0.7474747474747474,511,1,599,374
False,0.01,0.01,200,0.6484848484848484,368,5,595,517
False,0.01,0.01,200,0.7380471380471381,504,8,592,381
False,0.01,0.01,200,0.7636363636363637,534,0,600,351
False,0.01,0.01,200,0.7764309764309765,554,1,599,331
False,0.01,0.01,200,0.7084175084175084,459,7,593,426
False,0.01,0.01,200,0.7589225589225589,528,1,599,357
False,0.01,0.01,200,0.7144781144781145,469,8,592,416
False,0.01,0.01,200,0.7333333333333334,507,18,582,378
False,0.01,0.01,200,0.7434343434343434,506,2,598,379
False,0.01,0.01,200,0.8013468013468014,596,6,594,289
False,0.01,0.01,200,0.7582491582491583,532,6,594,353
False,0.01,0.01,200,0.6956228956228956,434,1,599,451
False,0.01,0.01,200,0.775084175084175,561,10,590,324
False,0.01,0.01,200,0.7104377104377104,459,4,596,426
False,0.01,0.01,200,0.7097643097643098,458,4,596,427
False,0.01,0.01,200,0.6882154882154883,425,3,597,460
False,0.01,0.01,200,0.674074074074074,414,13,587,471
False,0.01,0.01,200,0.6114478114478115,321,13,587,564
False,0.01,0.01,200,0.7811447811447811,566,6,594,319
