linear,b,d,n_samples,alpha,accuracy,trueneg,falseneg,truepos,falsepos,model_count
False,0.1,0.1,50,0.001,0.45194358445132443,24,3,6545,7963,0
False,0.1,0.1,50,0.005,0.45737874097007225,119,19,6529,7868,0
False,0.1,0.1,50,0.01,0.4613691090471276,209,51,6497,7778,0
False,0.1,0.1,50,0.05,0.4855177158582731,745,236,6312,7242,0
False,0.1,0.1,50,0.1,0.5162710698314413,1373,417,6131,6614,0
False,0.1,0.1,50,0.001,0.45104919160646717,8,0,6548,7979,0
False,0.1,0.1,50,0.005,0.4549019607843138,64,0,6548,7923,0
False,0.1,0.1,50,0.01,0.4581355349157207,122,11,6537,7865,0
False,0.1,0.1,50,0.05,0.48173374613003095,539,85,6463,7448,0
False,0.1,0.1,50,0.1,0.5095287237702099,1092,234,6314,6895,0
False,0.1,0.1,50,0.001,0.45228758169934635,26,0,6548,7961,0
False,0.1,0.1,50,0.005,0.4572411420708634,103,5,6543,7884,0
False,0.1,0.1,50,0.01,0.4619195046439628,183,17,6531,7804,0
False,0.1,0.1,50,0.05,0.4893704850361197,661,96,6452,7326,0
False,0.1,0.1,50,0.1,0.5195046439628483,1251,248,6300,6736,0
False,0.1,0.1,50,0.001,0.4515995872033024,17,1,6547,7970,0
False,0.1,0.1,50,0.005,0.4535947712418301,70,25,6523,7917,0
False,0.1,0.1,50,0.01,0.45558995528035773,128,54,6494,7859,0
False,0.1,0.1,50,0.05,0.4690746474028208,500,230,6318,7487,0
False,0.1,0.1,50,0.1,0.4815961472308221,921,469,6079,7066,0
False,0.1,0.1,50,0.001,0.45111799105607153,9,0,6548,7978,0
False,0.1,0.1,50,0.005,0.4532507739938081,50,10,6538,7937,0
False,0.1,0.1,50,0.01,0.45510835913312697,95,28,6520,7892,0
False,0.1,0.1,50,0.05,0.4733402132782938,496,164,6384,7491,0
False,0.1,0.1,50,0.1,0.4960440316477468,1022,360,6188,6965,0
False,0.1,0.1,50,0.001,0.451186790505676,10,0,6548,7977,0
False,0.1,0.1,50,0.005,0.45249398004815966,51,22,6526,7936,0
False,0.1,0.1,50,0.01,0.4536635706914345,93,47,6501,7894,0
False,0.1,0.1,50,0.05,0.4600619195046439,336,197,6351,7651,0
False,0.1,0.1,50,0.1,0.46811145510835916,667,411,6137,7320,0
False,0.1,0.1,50,0.001,0.4527691778465772,33,0,6548,7954,0
False,0.1,0.1,50,0.005,0.4591675266597868,134,8,6540,7853,0
False,0.1,0.1,50,0.01,0.4641210870313037,214,16,6532,7773,0
False,0.1,0.1,50,0.05,0.49047127622979014,710,129,6419,7277,0
False,0.1,0.1,50,0.1,0.5134502923976608,1247,332,6216,6740,0
False,0.1,0.1,50,0.001,0.4505675954592363,8,7,6541,7979,0
False,0.1,0.1,50,0.005,0.45146198830409356,48,34,6514,7939,0
False,0.1,0.1,50,0.01,0.4534571723426213,103,60,6488,7884,0
False,0.1,0.1,50,0.05,0.4627450980392157,397,219,6329,7590,0
False,0.1,0.1,50,0.1,0.48008255933952526,845,415,6133,7142,0
False,0.1,0.1,50,0.001,0.45125558995528037,12,1,6547,7975,0
False,0.1,0.1,50,0.005,0.45414516683866524,58,5,6543,7929,0
False,0.1,0.1,50,0.01,0.45593395252837976,95,16,6532,7892,0
False,0.1,0.1,50,0.05,0.4685930512555899,357,94,6454,7630,0
False,0.1,0.1,50,0.1,0.4867561059511524,742,215,6333,7245,0
False,0.1,0.1,50,0.001,0.4515307877536979,28,13,6535,7959,0
False,0.1,0.1,50,0.005,0.4544203646370829,135,78,6470,7852,0
False,0.1,0.1,50,0.01,0.4556587547299622,209,134,6414,7778,0
False,0.1,0.1,50,0.05,0.46728586171310627,632,388,6160,7355,0
False,0.1,0.1,50,0.1,0.4800137598899209,1127,698,5850,6860,0
False,0.1,0.1,100,0.001,0.45923632610939114,144,17,6531,7843,0
False,0.1,0.1,100,0.005,0.4723082215342277,366,49,6499,7621,0
False,0.1,0.1,100,0.01,0.4826281389748882,547,80,6468,7440,0
False,0.1,0.1,100,0.05,0.5280357757137943,1417,290,6258,6570,0
False,0.1,0.1,100,0.1,0.5536979704162367,2095,595,5953,5892,0
