train_lin,b,d,KME,E,K,n_samples,n_distributions,score,trueneg,falseneg,truepos,falsepos
False,0.1,0.1,4,500,500,50,100,0.6435897435897436,1479,1265,2035,681
False,0.1,0.1,4,500,500,50,100,0.7137362637362638,1710,1113,2187,450
False,0.1,0.1,4,500,500,50,100,0.7093406593406594,1533,960,2340,627
False,0.1,0.1,4,500,500,50,100,0.6820512820512821,1407,983,2317,753
False,0.1,0.1,4,500,500,50,100,0.7446886446886447,1393,627,2673,767
False,0.1,0.1,4,500,500,50,100,0.6694139194139194,1289,934,2366,871
False,0.1,0.1,4,500,500,50,100,0.7117216117216117,1449,863,2437,711
False,0.1,0.1,4,500,500,50,100,0.6146520146520147,1286,1230,2070,874
False,0.1,0.1,4,500,500,50,100,0.6778388278388279,1284,883,2417,876
False,0.1,0.1,4,500,500,50,100,0.6928571428571428,1455,972,2328,705
False,0.1,0.1,4,500,500,50,500,0.5346153846153846,1093,1474,1826,1067
False,0.1,0.1,4,500,500,50,500,0.673992673992674,1206,826,2474,954
False,0.1,0.1,4,500,500,50,500,0.6084249084249084,886,864,2436,1274
False,0.1,0.1,4,500,500,50,500,0.6531135531135531,798,532,2768,1362
False,0.1,0.1,4,500,500,50,500,0.6853479853479854,1130,688,2612,1030
False,0.1,0.1,4,500,500,50,500,0.686996336996337,967,516,2784,1193
False,0.1,0.1,4,500,500,50,500,0.7173992673992674,1428,811,2489,732
False,0.1,0.1,4,500,500,50,500,0.7093406593406594,1626,1053,2247,534
False,0.1,0.1,4,500,500,50,500,0.7267399267399267,1272,604,2696,888
False,0.1,0.1,4,500,500,50,500,0.671062271062271,1163,799,2501,997
False,0.1,0.1,4,500,500,50,1000,0.5879120879120879,723,813,2487,1437
False,0.1,0.1,4,500,500,50,1000,0.6124542124542125,970,926,2374,1190
False,0.1,0.1,4,500,500,50,1000,0.5641025641025641,1062,1282,2018,1098
False,0.1,0.1,4,500,500,50,1000,0.7663003663003664,1516,632,2668,644
False,0.1,0.1,4,500,500,50,1000,0.7347985347985349,1875,1163,2137,285
False,0.1,0.1,4,500,500,50,1000,0.6891941391941392,1453,990,2310,707
False,0.1,0.1,4,500,500,50,1000,0.6943223443223443,1189,698,2602,971
False,0.1,0.1,4,500,500,50,1000,0.6428571428571429,1090,880,2420,1070
False,0.1,0.1,4,500,500,50,1000,0.6747252747252748,1397,1013,2287,763
False,0.1,0.1,4,500,500,50,1000,0.6846153846153846,784,346,2954,1376
False,0.1,0.1,4,500,500,100,100,0.7827838827838828,1720,746,2554,440
False,0.1,0.1,4,500,500,100,100,0.7507326007326007,1969,1170,2130,191
False,0.1,0.1,4,500,500,100,100,0.6034798534798534,1649,1654,1646,511
False,0.1,0.1,4,500,500,100,100,0.7326007326007326,1529,829,2471,631
False,0.1,0.1,4,500,500,100,100,0.7648351648351648,1943,1067,2233,217
False,0.1,0.1,4,500,500,100,100,0.7430402930402931,1975,1218,2082,185
False,0.1,0.1,4,500,500,100,100,0.6998168498168498,2000,1479,1821,160
False,0.1,0.1,4,500,500,100,100,0.6924908424908425,1742,1261,2039,418
False,0.1,0.1,4,500,500,100,100,0.6992673992673992,1691,1173,2127,469
False,0.1,0.1,4,500,500,100,100,0.6959706959706959,1536,1036,2264,624
False,0.1,0.1,4,500,500,100,500,0.7752747252747253,1854,921,2379,306
False,0.1,0.1,4,500,500,100,500,0.7538461538461538,1948,1132,2168,212
False,0.1,0.1,4,500,500,100,500,0.6989010989010989,1732,1216,2084,428
False,0.1,0.1,4,500,500,100,500,0.695054945054945,1555,1060,2240,605
False,0.1,0.1,4,500,500,100,500,0.7435897435897436,1713,953,2347,447
False,0.1,0.1,4,500,500,100,500,0.7494505494505495,1647,855,2445,513
False,0.1,0.1,4,500,500,100,500,0.7571428571428571,1830,996,2304,330
False,0.1,0.1,4,500,500,100,500,0.7457875457875458,1615,843,2457,545
False,0.1,0.1,4,500,500,100,500,0.7128205128205128,1125,533,2767,1035
False,0.1,0.1,4,500,500,100,500,0.7249084249084249,1906,1248,2052,254
False,0.1,0.1,4,500,500,100,1000,0.6780219780219781,1322,920,2380,838
False,0.1,0.1,4,500,500,100,1000,0.7221611721611721,1920,1277,2023,240
False,0.1,0.1,4,500,500,100,1000,0.7331501831501831,1641,938,2362,519
False,0.1,0.1,4,500,500,100,1000,0.7734432234432235,1955,1032,2268,205
False,0.1,0.1,4,500,500,100,1000,0.7371794871794872,1827,1102,2198,333
False,0.1,0.1,4,500,500,100,1000,0.7463369963369964,2019,1244,2056,141
False,0.1,0.1,4,500,500,100,1000,0.76996336996337,1850,946,2354,310
False,0.1,0.1,4,500,500,100,1000,0.6498168498168498,1323,1075,2225,837
False,0.1,0.1,4,500,500,100,1000,0.6888278388278388,2017,1556,1744,143
False,0.1,0.1,4,500,500,100,1000,0.7432234432234432,2089,1331,1969,71
False,0.1,0.1,4,500,500,500,100,0.7364468864468865,2159,1438,1862,1
False,0.1,0.1,4,500,500,500,100,0.7128205128205128,2160,1568,1732,0
False,0.1,0.1,4,500,500,500,100,0.671978021978022,2124,1755,1545,36
False,0.1,0.1,4,500,500,500,100,0.6725274725274726,2107,1735,1565,53
False,0.1,0.1,4,500,500,500,100,0.6893772893772894,2155,1691,1609,5
False,0.1,0.1,4,500,500,500,100,0.7695970695970696,2156,1254,2046,4
False,0.1,0.1,4,500,500,500,100,0.7542124542124542,2159,1341,1959,1
False,0.1,0.1,4,500,500,500,100,0.6935897435897436,2148,1661,1639,12
False,0.1,0.1,4,500,500,500,100,0.6983516483516483,2120,1607,1693,40
False,0.1,0.1,4,500,500,500,100,0.6945054945054945,2071,1579,1721,89
False,0.1,0.1,4,500,500,500,500,0.7282051282051282,2159,1483,1817,1
False,0.1,0.1,4,500,500,500,500,0.7265567765567765,2160,1493,1807,0
False,0.1,0.1,4,500,500,500,500,0.7168498168498169,2157,1543,1757,3
False,0.1,0.1,4,500,500,500,500,0.7307692307692307,2160,1470,1830,0
False,0.1,0.1,4,500,500,500,500,0.7653846153846153,2129,1250,2050,31
False,0.1,0.1,4,500,500,500,500,0.7364468864468865,2160,1439,1861,0
False,0.1,0.1,4,500,500,500,500,0.7551282051282051,2160,1337,1963,0
False,0.1,0.1,4,500,500,500,500,0.7402930402930403,2143,1401,1899,17
False,0.1,0.1,4,500,500,500,500,0.7097069597069597,2099,1524,1776,61
False,0.1,0.1,4,500,500,500,500,0.656043956043956,2159,1877,1423,1
False,0.1,0.1,4,500,500,500,1000,0.7065934065934066,2141,1583,1717,19
False,0.1,0.1,4,500,500,500,1000,0.6785714285714286,2153,1748,1552,7
False,0.1,0.1,4,500,500,500,1000,0.6932234432234432,2160,1675,1625,0
False,0.1,0.1,4,500,500,500,1000,0.656959706959707,2160,1873,1427,0
False,0.1,0.1,4,500,500,500,1000,0.7543956043956044,2148,1329,1971,12
False,0.1,0.1,4,500,500,500,1000,0.6840659340659341,2101,1666,1634,59
