linear,b,d,n_samples,alpha,accuracy,trueneg,falseneg,truepos,falsepos,model_count
False,0.1,0.1,50,0.001,0.6170329670329671,69,0,3300,2091,0
False,0.1,0.1,50,0.005,0.6379120879120879,187,4,3296,1973,0
False,0.1,0.1,50,0.01,0.6468864468864468,242,10,3290,1918,0
False,0.1,0.1,50,0.05,0.693040293040293,536,52,3248,1624,0
False,0.1,0.1,50,0.1,0.7221611721611721,776,133,3167,1384,0
False,0.1,0.1,50,0.001,0.6111721611721612,37,0,3300,2123,0
False,0.1,0.1,50,0.005,0.6228937728937729,101,0,3300,2059,0
False,0.1,0.1,50,0.01,0.63003663003663,142,2,3298,2018,0
False,0.1,0.1,50,0.05,0.6631868131868132,358,37,3263,1802,0
False,0.1,0.1,50,0.1,0.689010989010989,559,97,3203,1601,0
False,0.1,0.1,50,0.001,0.6084249084249085,22,0,3300,2138,0
False,0.1,0.1,50,0.005,0.6131868131868132,62,14,3286,2098,0
False,0.1,0.1,50,0.01,0.6131868131868132,80,32,3268,2080,0
False,0.1,0.1,50,0.05,0.6227106227106227,232,132,3168,1928,0
False,0.1,0.1,50,0.1,0.6336996336996337,421,261,3039,1739,0
False,0.1,0.1,50,0.001,0.6065934065934067,12,0,3300,2148,0
False,0.1,0.1,50,0.005,0.6097069597069598,44,15,3285,2116,0
False,0.1,0.1,50,0.01,0.6146520146520147,93,37,3263,2067,0
False,0.1,0.1,50,0.05,0.6186813186813187,240,162,3138,1920,0
False,0.1,0.1,50,0.1,0.6186813186813187,353,275,3025,1807,0
False,0.1,0.1,50,0.001,0.6051282051282052,4,0,3300,2156,0
False,0.1,0.1,50,0.005,0.6064102564102565,20,9,3291,2140,0
False,0.1,0.1,50,0.01,0.6084249084249085,44,22,3278,2116,0
False,0.1,0.1,50,0.05,0.6102564102564103,141,109,3191,2019,0
False,0.1,0.1,50,0.1,0.6058608058608059,223,215,3085,1937,0
False,0.1,0.1,50,0.001,0.604945054945055,3,0,3300,2157,0
False,0.1,0.1,50,0.005,0.613003663003663,48,1,3299,2112,0
False,0.1,0.1,50,0.01,0.6157509157509158,68,6,3294,2092,0
False,0.1,0.1,50,0.05,0.628021978021978,184,55,3245,1976,0
False,0.1,0.1,50,0.1,0.641025641025641,323,123,3177,1837,0
False,0.1,0.1,50,0.001,0.6117216117216118,40,0,3300,2120,0
False,0.1,0.1,50,0.005,0.6227106227106227,108,8,3292,2052,0
False,0.1,0.1,50,0.01,0.63003663003663,162,22,3278,1998,0
False,0.1,0.1,50,0.05,0.6587912087912088,399,102,3198,1761,0
False,0.1,0.1,50,0.1,0.6891941391941392,664,201,3099,1496,0
False,0.1,0.1,50,0.001,0.6064102564102565,11,0,3300,2149,0
False,0.1,0.1,50,0.005,0.608974358974359,37,12,3288,2123,0
False,0.1,0.1,50,0.01,0.6108058608058609,60,25,3275,2100,0
False,0.1,0.1,50,0.05,0.6228937728937729,187,86,3214,1973,0
False,0.1,0.1,50,0.1,0.6261904761904762,307,188,3112,1853,0
False,0.1,0.1,50,0.001,0.6084249084249085,22,0,3300,2138,0
False,0.1,0.1,50,0.005,0.6173992673992674,80,9,3291,2080,0
False,0.1,0.1,50,0.01,0.6227106227106227,116,16,3284,2044,0
False,0.1,0.1,50,0.05,0.6597069597069597,380,78,3222,1780,0
False,0.1,0.1,50,0.1,0.6932234432234432,634,149,3151,1526,0
False,0.1,0.1,50,0.001,0.604945054945055,3,0,3300,2157,0
False,0.1,0.1,50,0.005,0.608974358974359,30,5,3295,2130,0
False,0.1,0.1,50,0.01,0.6128205128205129,57,11,3289,2103,0
False,0.1,0.1,50,0.05,0.6357142857142857,225,54,3246,1935,0
False,0.1,0.1,50,0.1,0.6553113553113553,415,137,3163,1745,0
False,0.1,0.1,100,0.001,0.6333333333333333,159,1,3299,2001,0
False,0.1,0.1,100,0.005,0.6479853479853479,248,10,3290,1912,0
False,0.1,0.1,100,0.01,0.6593406593406593,323,23,3277,1837,0
False,0.1,0.1,100,0.05,0.6965201465201465,612,109,3191,1548,0
False,0.1,0.1,100,0.1,0.7280219780219781,863,188,3112,1297,0
False,0.1,0.1,100,0.001,0.6172161172161172,124,54,3246,2036,0
False,0.1,0.1,100,0.005,0.6324175824175824,235,82,3218,1925,0
False,0.1,0.1,100,0.01,0.6490842490842491,343,99,3201,1817,0
False,0.1,0.1,100,0.05,0.6906593406593406,697,226,3074,1463,0
False,0.1,0.1,100,0.1,0.7082417582417582,925,358,2942,1235,0
False,0.1,0.1,100,0.001,0.6435897435897435,247,33,3267,1913,0
False,0.1,0.1,100,0.005,0.6543956043956044,344,71,3229,1816,0
False,0.1,0.1,100,0.01,0.6613553113553113,417,106,3194,1743,0
False,0.1,0.1,100,0.05,0.6879120879120879,734,278,3022,1426,0
False,0.1,0.1,100,0.1,0.6998168498168498,965,444,2856,1195,0
False,0.1,0.1,100,0.001,0.6175824175824176,88,16,3284,2072,0
False,0.1,0.1,100,0.005,0.6289377289377289,184,50,3250,1976,0
False,0.1,0.1,100,0.01,0.6397435897435897,260,67,3233,1900,0
False,0.1,0.1,100,0.05,0.671978021978022,587,218,3082,1573,0
False,0.1,0.1,100,0.1,0.6813186813186813,804,384,2916,1356,0
False,0.1,0.1,100,0.001,0.6168498168498169,70,2,3298,2090,0
False,0.1,0.1,100,0.005,0.6256410256410256,128,12,3288,2032,0
False,0.1,0.1,100,0.01,0.6315018315018315,175,27,3273,1985,0
False,0.1,0.1,100,0.05,0.6684981684981686,474,124,3176,1686,0
False,0.1,0.1,100,0.1,0.6919413919413919,733,255,3045,1427,0
False,0.1,0.1,100,0.001,0.6483516483516483,251,11,3289,1909,0
False,0.1,0.1,100,0.005,0.6771062271062271,427,30,3270,1733,0
False,0.1,0.1,100,0.01,0.697069597069597,560,54,3246,1600,0
False,0.1,0.1,100,0.05,0.7547619047619047,999,178,3122,1161,0
False,0.1,0.1,100,0.1,0.7701465201465202,1229,324,2976,931,0
False,0.1,0.1,100,0.001,0.6584249084249084,301,6,3294,1859,0
False,0.1,0.1,100,0.005,0.6871794871794872,462,10,3290,1698,0
False,0.1,0.1,100,0.01,0.7084249084249084,586,18,3282,1574,0
False,0.1,0.1,100,0.05,0.7716117216117216,970,57,3243,1190,0
False,0.1,0.1,100,0.1,0.7932234432234433,1168,137,3163,992,0
False,0.1,0.1,100,0.001,0.6091575091575092,43,17,3283,2117,0
False,0.1,0.1,100,0.005,0.61996336996337,131,46,3254,2029,0
False,0.1,0.1,100,0.01,0.6247252747252747,191,80,3220,1969,0
False,0.1,0.1,100,0.05,0.6384615384615384,457,271,3029,1703,0
False,0.1,0.1,100,0.1,0.6494505494505495,670,424,2876,1490,0
False,0.1,0.1,100,0.001,0.6161172161172161,64,0,3300,2096,0
False,0.1,0.1,100,0.005,0.6379120879120879,186,3,3297,1974,0
False,0.1,0.1,100,0.01,0.6538461538461539,277,7,3293,1883,0
False,0.1,0.1,100,0.05,0.7142857142857143,656,56,3244,1504,0
False,0.1,0.1,100,0.1,0.7531135531135531,944,132,3168,1216,0
False,0.1,0.1,100,0.001,0.6265567765567766,160,39,3261,2000,0
False,0.1,0.1,100,0.005,0.638095238095238,249,65,3235,1911,0
False,0.1,0.1,100,0.01,0.6456043956043955,306,81,3219,1854,0
False,0.1,0.1,100,0.05,0.674908424908425,557,172,3128,1603,0
False,0.1,0.1,100,0.1,0.702014652014652,806,273,3027,1354,0
False,0.1,0.1,500,0.001,0.7776556776556777,1001,55,3245,1159,0
False,0.1,0.1,500,0.005,0.8126373626373626,1257,120,3180,903,0
False,0.1,0.1,500,0.01,0.8274725274725274,1380,162,3138,780,0
False,0.1,0.1,500,0.05,0.8481684981684982,1690,359,2941,470,0
False,0.1,0.1,500,0.1,0.8307692307692307,1805,569,2731,355,0
False,0.1,0.1,500,0.001,0.8335164835164836,1273,22,3278,887,0
False,0.1,0.1,500,0.005,0.8749084249084249,1517,40,3260,643,0
False,0.1,0.1,500,0.01,0.8945054945054945,1645,61,3239,515,0
False,0.1,0.1,500,0.05,0.9236263736263737,1898,155,3145,262,0
False,0.1,0.1,500,0.1,0.9206959706959708,1997,270,3030,163,0
False,0.1,0.1,500,0.001,0.8159340659340659,1229,74,3226,931,0
False,0.1,0.1,500,0.005,0.8562271062271063,1496,121,3179,664,0
False,0.1,0.1,500,0.01,0.8712454212454213,1616,159,3141,544,0
False,0.1,0.1,500,0.05,0.8847985347985348,1873,342,2958,287,0
False,0.1,0.1,500,0.1,0.8732600732600733,1970,502,2798,190,0
False,0.1,0.1,500,0.001,0.7071428571428571,1028,467,2833,1132,0
False,0.1,0.1,500,0.005,0.728937728937729,1216,536,2764,944,0
False,0.1,0.1,500,0.01,0.7412087912087912,1329,582,2718,831,0
False,0.1,0.1,500,0.05,0.7666666666666666,1586,700,2600,574,0
False,0.1,0.1,500,0.1,0.7684981684981684,1724,828,2472,436,0
False,0.1,0.1,500,0.001,0.8322344322344323,1388,144,3156,772,0
False,0.1,0.1,500,0.005,0.852014652014652,1568,216,3084,592,0
False,0.1,0.1,500,0.01,0.8578754578754579,1647,263,3037,513,0
False,0.1,0.1,500,0.05,0.8652014652014652,1873,449,2851,287,0
False,0.1,0.1,500,0.1,0.8565934065934067,1951,574,2726,209,0
False,0.1,0.1,500,0.001,0.8128205128205128,1318,180,3120,842,0
False,0.1,0.1,500,0.005,0.8274725274725274,1500,282,3018,660,0
False,0.1,0.1,500,0.01,0.8311355311355311,1568,330,2970,592,0
False,0.1,0.1,500,0.05,0.8201465201465201,1728,550,2750,432,0
False,0.1,0.1,500,0.1,0.8082417582417583,1830,717,2583,330,0
False,0.1,0.1,500,0.001,0.721062271062271,922,285,3015,1238,0
False,0.1,0.1,500,0.005,0.7401098901098901,1141,400,2900,1019,0
False,0.1,0.1,500,0.01,0.7485347985347985,1249,462,2838,911,0
False,0.1,0.1,500,0.05,0.7553113553113553,1547,723,2577,613,0
False,0.1,0.1,500,0.1,0.7380952380952381,1669,939,2361,491,0
False,0.1,0.1,500,0.001,0.6454212454212453,811,587,2713,1349,0
False,0.1,0.1,500,0.005,0.6478021978021977,928,691,2609,1232,0
False,0.1,0.1,500,0.01,0.6494505494505495,996,750,2550,1164,0
False,0.1,0.1,500,0.05,0.6413919413919413,1214,1012,2288,946,0
False,0.1,0.1,500,0.1,0.636080586080586,1346,1173,2127,814,0
False,0.1,0.1,500,0.001,0.8195970695970696,1243,68,3232,917,0
False,0.1,0.1,500,0.005,0.8523809523809524,1484,130,3170,676,0
False,0.1,0.1,500,0.01,0.8584249084249085,1576,189,3111,584,0
False,0.1,0.1,500,0.05,0.8565934065934067,1782,405,2895,378,0
False,0.1,0.1,500,0.1,0.8368131868131868,1859,590,2710,301,0
False,0.1,0.1,500,0.001,0.6206959706959707,721,632,2668,1439,0
False,0.1,0.1,500,0.005,0.6201465201465202,855,769,2531,1305,0
False,0.1,0.1,500,0.01,0.6256410256410256,950,834,2466,1210,0
False,0.1,0.1,500,0.05,0.611904761904762,1164,1123,2177,996,0
False,0.1,0.1,500,0.1,0.597985347985348,1268,1303,1997,892,0
False,0.1,0.1,1000,0.001,0.904945054945055,1655,14,3286,505,0
False,0.1,0.1,1000,0.005,0.9265567765567766,1798,39,3261,362,0
False,0.1,0.1,1000,0.01,0.9336996336996337,1863,65,3235,297,0
False,0.1,0.1,1000,0.05,0.9346153846153846,1998,195,3105,162,0
False,0.1,0.1,1000,0.1,0.921978021978022,2057,323,2977,103,0
False,0.1,0.1,1000,0.001,0.9567765567765568,1937,13,3287,223,0
False,0.1,0.1,1000,0.005,0.9723443223443223,2043,34,3266,117,0
False,0.1,0.1,1000,0.01,0.9738095238095238,2071,54,3246,89,0
False,0.1,0.1,1000,0.05,0.9604395604395605,2124,180,3120,36,0
False,0.1,0.1,1000,0.1,0.941025641025641,2141,303,2997,19,0
False,0.1,0.1,1000,0.001,0.9516483516483516,1914,18,3282,246,0
False,0.1,0.1,1000,0.005,0.9646520146520147,2019,52,3248,141,0
False,0.1,0.1,1000,0.01,0.9673992673992674,2053,71,3229,107,0
False,0.1,0.1,1000,0.05,0.9518315018315018,2105,208,3092,55,0
