train_lin,b,d,KME,E,K,n_samples,n_distributions,score,trueneg,falseneg,truepos,falsepos
True,0.1,0.1,4,500,500,50,100,0.8666666666666667,8,0,5,2
True,0.1,0.1,4,500,500,50,100,0.8666666666666667,10,2,3,0
True,0.1,0.1,4,500,500,50,100,0.7333333333333333,8,2,3,2
True,0.1,0.1,4,500,500,50,100,0.8666666666666667,10,2,3,0
True,0.1,0.1,4,500,500,50,100,0.9333333333333333,10,1,4,0
True,0.1,0.1,4,500,500,50,100,0.7333333333333333,8,2,3,2
True,0.1,0.1,4,500,500,50,100,0.8,9,2,3,1
True,0.1,0.1,4,500,500,50,100,0.5333333333333333,7,4,1,3
True,0.1,0.1,4,500,500,50,100,0.6666666666666666,8,3,2,2
True,0.1,0.1,4,500,500,50,100,0.8666666666666667,10,2,3,0
True,0.1,0.1,4,500,500,50,100,0.6666666666666666,8,3,2,2
True,0.1,0.1,4,500,500,50,100,0.9333333333333333,10,1,4,0
True,0.1,0.1,4,500,500,50,100,0.9333333333333333,10,1,4,0
True,0.1,0.1,4,500,500,50,100,0.5333333333333333,7,4,1,3
True,0.1,0.1,4,500,500,50,100,0.8,10,3,2,0
True,0.1,0.1,4,500,500,50,100,1.0,10,0,5,0
True,0.1,0.1,4,500,500,50,100,0.9333333333333333,10,1,4,0
True,0.1,0.1,4,500,500,50,100,0.9333333333333333,10,1,4,0
True,0.1,0.1,4,500,500,50,100,0.8666666666666667,10,2,3,0
True,0.1,0.1,4,500,500,50,100,0.6666666666666666,8,3,2,2
True,0.1,0.1,4,500,500,50,100,0.7333333333333333,9,3,2,1
True,0.1,0.1,4,500,500,50,100,0.8,9,2,3,1
True,0.1,0.1,4,500,500,50,100,0.8,9,2,3,1
True,0.1,0.1,4,500,500,50,100,0.6666666666666666,9,4,1,1
True,0.1,0.1,4,500,500,50,100,1.0,10,0,5,0
True,0.1,0.1,4,500,500,50,100,0.8,9,2,3,1
True,0.1,0.1,4,500,500,50,100,1.0,10,0,5,0
True,0.1,0.1,4,500,500,50,100,0.8666666666666667,10,2,3,0
True,0.1,0.1,4,500,500,50,100,0.5333333333333333,8,5,0,2
True,0.1,0.1,4,500,500,50,100,0.8,9,2,3,1
True,0.1,0.1,4,500,500,50,100,0.7333333333333333,8,2,3,2
True,0.1,0.1,4,500,500,50,100,0.9333333333333333,9,0,5,1
True,0.1,0.1,4,500,500,50,100,0.6666666666666666,5,0,5,5
True,0.1,0.1,4,500,500,50,100,1.0,10,0,5,0
True,0.1,0.1,4,500,500,50,100,0.9333333333333333,10,1,4,0
True,0.1,0.1,4,500,500,50,100,0.7333333333333333,9,3,2,1
True,0.1,0.1,4,500,500,50,100,0.8,9,2,3,1
True,0.1,0.1,4,500,500,50,100,0.6666666666666666,9,4,1,1
