train_lin,b,d,KME,E,K,n_samples,n_distributions,score,trueneg,falseneg,truepos,falsepos
False,0.1,0.1,4,100,100,50,100,0.6125214998280014,6836,4481,2067,1151
False,0.1,0.1,4,100,100,50,100,0.6119023047815617,7199,4853,1695,788
False,0.1,0.1,4,100,100,50,100,0.5852769177846577,6790,4831,1717,1197
False,0.1,0.1,4,100,100,50,100,0.6336429308565531,6986,4324,2224,1001
False,0.1,0.1,4,100,100,50,100,0.6099071207430341,7201,4884,1664,786
False,0.1,0.1,4,100,100,50,100,0.6379772961816306,7163,4438,2110,824
False,0.1,0.1,4,100,100,50,100,0.5745442036463708,6800,4997,1551,1187
False,0.1,0.1,4,100,100,50,100,0.5988304093567252,7238,5082,1466,749
False,0.1,0.1,4,100,100,50,100,0.621671826625387,7030,4542,2006,957
False,0.1,0.1,4,100,100,50,100,0.6159614723082215,7229,4824,1724,758
False,0.1,0.1,4,500,100,50,100,0.6171310629514963,6814,4392,2156,1173
False,0.1,0.1,4,500,100,50,100,0.6147918816649467,7237,4849,1699,750
False,0.1,0.1,4,500,100,50,100,0.5866529067767458,6776,4797,1751,1211
False,0.1,0.1,4,500,100,50,100,0.634812521499828,6965,4286,2262,1022
False,0.1,0.1,4,500,100,50,100,0.60921912624699,7236,4929,1619,751
False,0.1,0.1,4,500,100,50,100,0.6403852769177847,7148,4388,2160,839
False,0.1,0.1,4,500,100,50,100,0.5766769865841074,6821,4987,1561,1166
False,0.1,0.1,4,500,100,50,100,0.6014447884416925,7236,5042,1506,751
False,0.1,0.1,4,500,100,50,100,0.62421740626075,6979,4454,2094,1008
False,0.1,0.1,4,500,100,50,100,0.6204334365325077,7251,4781,1767,736
False,0.1,0.1,4,1000,100,50,100,0.6183006535947713,6818,4379,2169,1169
False,0.1,0.1,4,1000,100,50,100,0.6163054695562435,7226,4816,1732,761
False,0.1,0.1,4,1000,100,50,100,0.5860337117303062,6769,4799,1749,1218
False,0.1,0.1,4,1000,100,50,100,0.634124527003784,6967,4298,2250,1020
False,0.1,0.1,4,1000,100,50,100,0.6094255245958032,7247,4937,1611,740
False,0.1,0.1,4,1000,100,50,100,0.6406604747162022,7145,4381,2167,842
False,0.1,0.1,4,1000,100,50,100,0.5766769865841074,6829,4995,1553,1158
False,0.1,0.1,4,1000,100,50,100,0.6015823873409013,7242,5046,1502,745
False,0.1,0.1,4,1000,100,50,100,0.6246302029583763,6977,4446,2102,1010
False,0.1,0.1,4,1000,100,50,100,0.620295837633299,7243,4775,1773,744
False,0.1,0.1,4,100,500,50,100,0.6174750601995184,6829,4402,2146,1158
False,0.1,0.1,4,100,500,50,100,0.6171998624011008,7145,4722,1826,842
False,0.1,0.1,4,100,500,50,100,0.5805985552115583,6678,4787,1761,1309
False,0.1,0.1,4,100,500,50,100,0.6347437220502236,6838,4160,2388,1149
False,0.1,0.1,4,100,500,50,100,0.6105263157894737,7037,4711,1837,950
False,0.1,0.1,4,100,500,50,100,0.6406604747162022,7123,4359,2189,864
False,0.1,0.1,4,100,500,50,100,0.5795665634674922,6788,4912,1636,1199
False,0.1,0.1,4,100,500,50,100,0.6115583075335397,7148,4807,1741,839
False,0.1,0.1,4,100,500,50,100,0.6267629858961128,6936,4374,2174,1051
False,0.1,0.1,4,100,500,50,100,0.6249054007567939,7135,4600,1948,852
False,0.1,0.1,4,500,500,50,100,0.6173374613003096,6872,4447,2101,1115
False,0.1,0.1,4,500,500,50,100,0.6207774337805297,7241,4766,1782,746
False,0.1,0.1,4,500,500,50,100,0.5811489508083936,6717,4818,1730,1270
False,0.1,0.1,4,500,500,50,100,0.6353629170966633,6852,4165,2383,1135
False,0.1,0.1,4,500,500,50,100,0.612796697626419,7189,4830,1718,798
False,0.1,0.1,4,500,500,50,100,0.6414860681114551,7188,4412,2136,799
False,0.1,0.1,4,500,500,50,100,0.5842449260405916,6913,4969,1579,1074
False,0.1,0.1,4,500,500,50,100,0.6137598899208806,7154,4781,1767,833
False,0.1,0.1,4,500,500,50,100,0.627313381492948,6952,4382,2166,1035
False,0.1,0.1,4,500,500,50,100,0.6272445820433437,7121,4552,1996,866
False,0.1,0.1,4,1000,500,50,100,0.6189886480908152,6871,4422,2126,1116
False,0.1,0.1,4,1000,500,50,100,0.6227726178190575,7236,4732,1816,751
False,0.1,0.1,4,1000,500,50,100,0.5823185414516684,6700,4784,1764,1287
False,0.1,0.1,4,1000,500,50,100,0.6352941176470588,6849,4163,2385,1138
False,0.1,0.1,4,1000,500,50,100,0.6126590987272101,7190,4833,1715,797
False,0.1,0.1,4,1000,500,50,100,0.642999656002752,7174,4376,2172,813
False,0.1,0.1,4,1000,500,50,100,0.5845201238390093,6926,4978,1570,1061
False,0.1,0.1,4,1000,500,50,100,0.615686274509804,7150,4749,1799,837
False,0.1,0.1,4,1000,500,50,100,0.6280701754385964,6927,4346,2202,1060
False,0.1,0.1,4,1000,500,50,100,0.6279325765393877,7116,4537,2011,871
