train_lin,b,d,KME,E,K,n_samples,n_distributions,score,trueneg,falseneg,truepos,falsepos
[False],0.05,0.05,4,500,400,2000,4000,0.8168350168350168,843,230,370,42
[False],0.05,0.05,4,500,400,2000,4000,0.8235690235690236,848,225,375,37
[False],0.05,0.05,4,500,400,2000,4000,0.7831649831649832,809,246,354,76
[False],0.05,0.05,4,500,400,2000,4000,0.8471380471380472,870,212,388,15
[False],0.05,0.05,4,500,400,2000,4000,0.8262626262626263,847,220,380,38
[False],0.05,0.05,4,500,400,2000,4000,0.8067340067340067,801,203,397,84
[False],0.05,0.05,4,500,400,2000,4000,0.797979797979798,809,224,376,76
[False],0.05,0.05,4,500,400,2000,4000,0.7885521885521886,778,207,393,107
[False],0.05,0.05,4,500,400,2000,4000,0.8,839,251,349,46
[False],0.05,0.05,4,500,400,2000,4000,0.7932659932659932,804,226,374,81
