KME,E,K,best_score,mean_score,var_score
minimal,500,200,0.7212121212121212,65.7979797979798,29.39291908988877
minimal,500,400,0.692929292929293,66.68686868686869,8.608305274971947
minimal,500,800,0.7484848484848485,67.5959595959596,25.984083256810596
minimal,1000,200,0.7232323232323232,66.28282828282828,30.28466483011934
minimal,1000,400,0.7131313131313132,67.03030303030303,10.78767472706869
minimal,1000,800,0.7525252525252525,67.11111111111111,31.23456790123454
minimal,1500,200,0.7181818181818181,66.0,29.571472298745032
minimal,1500,400,0.7212121212121212,67.2929292929293,11.786552392612991
minimal,1500,800,0.7494949494949495,66.96969696969697,32.088562391592674
4,500,200,0.7555555555555555,71.43434343434343,9.1184573002755
4,500,400,0.7535353535353535,73.11111111111111,3.7516579940822323
4,500,800,0.7464646464646465,72.66666666666667,5.74227119681664
4,1000,200,0.7555555555555555,71.5959595959596,6.475869809203139
4,1000,400,0.7434343434343434,73.03030303030303,1.9487807366595276
4,1000,800,0.7424242424242424,72.72727272727272,2.622181410060215
4,1500,200,0.7515151515151515,71.75757575757575,5.721865115804494
4,1500,400,0.7545454545454545,73.5959595959596,2.6813590449953986
4,1500,800,0.7373737373737373,72.16161616161617,2.0538720538720505
marginal,500,200,0.4131313131313131,40.72727272727273,0.11937557392102909
marginal,500,400,0.4090909090909091,40.60606060606061,0.03571064177124878
marginal,500,800,0.4111111111111111,40.72727272727273,0.047954290378531515
marginal,1000,200,0.41919191919191917,40.88888888888889,0.34384246505458416
marginal,1000,400,0.4121212121212121,40.72727272727273,0.0785634118967446
marginal,1000,800,0.4101010101010101,40.68686868686869,0.032649729619426145
marginal,1500,200,0.4121212121212121,40.72727272727273,0.09386797265585133
marginal,1500,400,0.4111111111111111,40.686868686868685,0.05815733088460239
marginal,1500,800,0.4101010101010101,40.64646464646465,0.04897459442914008
