linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.01,200,0.5272727272727273,211,28,572,674
False,0.01,0.01,200,0.5016835016835017,168,23,577,717
False,0.01,0.01,200,0.5845117845117845,290,22,578,595
False,0.01,0.01,200,0.5164983164983166,176,9,591,709
False,0.01,0.01,200,0.5676767676767677,268,25,575,617
False,0.01,0.01,200,0.5420875420875421,228,23,577,657
False,0.01,0.01,200,0.4996632996632997,182,40,560,703
False,0.01,0.01,200,0.5764309764309764,292,36,564,593
False,0.01,0.01,200,0.5367003367003367,221,24,576,664
False,0.01,0.01,200,0.5569023569023569,259,32,568,626
False,0.01,0.01,200,0.5367003367003367,230,33,567,655
False,0.01,0.01,200,0.5367003367003367,218,21,579,667
False,0.01,0.01,200,0.6175084175084176,343,26,574,542
False,0.01,0.01,200,0.5744107744107745,257,4,596,628
False,0.01,0.01,200,0.6026936026936027,302,7,593,583
False,0.01,0.01,200,0.5077441077441077,179,25,575,706
False,0.01,0.01,200,0.6336700336700336,364,23,577,521
False,0.01,0.01,200,0.5420875420875421,214,9,591,671
False,0.01,0.01,200,0.5723905723905724,266,16,584,619
False,0.01,0.01,200,0.5744107744107745,271,18,582,614
False,0.01,0.01,200,0.5265993265993266,214,32,568,671
False,0.01,0.01,200,0.5649831649831649,266,27,573,619
False,0.01,0.01,200,0.5393939393939393,211,10,590,674
False,0.01,0.01,200,0.5885521885521885,305,31,569,580
False,0.01,0.01,200,0.5521885521885521,230,10,590,655
False,0.01,0.01,200,0.595959595959596,295,10,590,590
False,0.01,0.01,200,0.4875420875420875,161,37,563,724
False,0.01,0.01,200,0.501010101010101,179,35,565,706
False,0.01,0.01,200,0.5562289562289562,250,24,576,635
False,0.01,0.01,200,0.5528619528619529,259,38,562,626
False,0.01,0.01,200,0.573063973063973,271,20,580,614
False,0.01,0.01,200,0.5912457912457912,283,5,595,602
False,0.01,0.01,200,0.5535353535353535,227,5,595,658
False,0.01,0.01,200,0.5414141414141413,212,8,592,673
False,0.01,0.01,200,0.5313131313131313,201,12,588,684
False,0.01,0.01,200,0.5023569023569023,180,34,566,705
False,0.01,0.01,200,0.5925925925925926,292,12,588,593
False,0.01,0.01,200,0.4875420875420875,147,23,577,738
False,0.01,0.01,200,0.47138047138047134,120,20,580,765
False,0.01,0.01,200,0.5407407407407407,227,24,576,658
False,0.01,0.01,200,0.5797979797979798,271,10,590,614
False,0.01,0.01,200,0.5346801346801346,215,21,579,670
False,0.01,0.01,200,0.5367003367003367,207,10,590,678
False,0.01,0.01,200,0.569023569023569,279,34,566,606
False,0.01,0.01,200,0.5851851851851853,285,16,584,600
False,0.01,0.01,200,0.6397306397306397,360,10,590,525
False,0.01,0.01,200,0.5622895622895623,245,10,590,640
False,0.01,0.01,200,0.5164983164983166,208,41,559,677
False,0.01,0.01,200,0.5595959595959596,254,23,577,631
False,0.01,0.01,200,0.5488215488215489,229,14,586,656
False,0.01,0.05,200,0.5515151515151515,248,29,571,637
False,0.01,0.05,200,0.5360269360269361,226,30,570,659
False,0.01,0.05,200,0.5387205387205387,217,17,583,668
False,0.01,0.05,200,0.5703703703703704,272,25,575,613
False,0.01,0.05,200,0.6013468013468013,301,8,592,584
False,0.01,0.05,200,0.5494949494949495,245,29,571,640
False,0.01,0.05,200,0.4760942760942761,148,41,559,737
False,0.01,0.05,200,0.4666666666666667,102,9,591,783
False,0.01,0.05,200,0.5656565656565656,246,6,594,639
False,0.01,0.05,200,0.5622895622895623,245,10,590,640
False,0.01,0.05,200,0.6269360269360269,349,18,582,536
False,0.01,0.05,200,0.5811447811447812,270,7,593,615
False,0.01,0.05,200,0.5569023569023569,243,16,584,642
False,0.01,0.05,200,0.560942760942761,259,26,574,626
False,0.01,0.05,200,0.5797979797979798,278,17,583,607
False,0.01,0.05,200,0.5407407407407407,215,12,588,670
False,0.01,0.05,200,0.5454545454545454,226,16,584,659
False,0.01,0.05,200,0.5683501683501684,251,7,593,634
False,0.01,0.05,200,0.5441077441077441,236,28,572,649
False,0.01,0.05,200,0.5925925925925926,293,13,587,592
False,0.01,0.05,200,0.560942760942761,240,7,593,645
False,0.01,0.05,200,0.591919191919192,299,20,580,586
False,0.01,0.05,200,0.6235690235690236,343,17,583,542
False,0.01,0.05,200,0.5043771043771044,161,12,588,724
False,0.01,0.05,200,0.5663299663299664,241,0,600,644
False,0.01,0.05,200,0.5434343434343434,227,20,580,658
False,0.01,0.05,200,0.5420875420875421,218,13,587,667
False,0.01,0.05,200,0.5427609427609428,237,31,569,648
False,0.01,0.05,200,0.5750841750841751,277,23,577,608
False,0.01,0.05,200,0.5737373737373737,265,13,587,620
False,0.01,0.05,200,0.5239057239057239,190,12,588,695
False,0.01,0.05,200,0.4626262626262626,117,30,570,768
False,0.01,0.05,200,0.531986531986532,200,10,590,685
False,0.01,0.05,200,0.5602693602693603,240,8,592,645
False,0.01,0.05,200,0.569023569023569,272,27,573,613
False,0.01,0.05,200,0.505050505050505,165,15,585,720
False,0.01,0.05,200,0.5676767676767677,255,12,588,630
False,0.01,0.05,200,0.5124579124579125,207,46,554,678
False,0.01,0.05,200,0.5508417508417509,229,11,589,656
False,0.01,0.05,200,0.5838383838383838,276,9,591,609
False,0.01,0.05,200,0.5602693602693603,236,4,596,649
False,0.01,0.05,200,0.44781144781144777,94,29,571,791
False,0.01,0.05,200,0.5279461279461279,192,8,592,693
False,0.01,0.05,200,0.5063973063973064,189,37,563,696
False,0.01,0.05,200,0.5818181818181818,293,29,571,592
False,0.01,0.05,200,0.5447811447811448,210,1,599,675
False,0.01,0.05,200,0.5818181818181818,285,21,579,600
False,0.01,0.05,200,0.4949494949494949,161,26,574,724
False,0.01,0.05,200,0.5535353535353535,240,18,582,645
False,0.01,0.05,200,0.5683501683501684,281,37,563,604
False,0.05,0.01,200,0.5932659932659933,326,45,555,559
False,0.05,0.01,200,0.5784511784511784,278,19,581,607
False,0.05,0.01,200,0.5407407407407407,214,11,589,671
False,0.05,0.01,200,0.5313131313131313,210,21,579,675
False,0.05,0.01,200,0.5474747474747474,217,4,596,668
False,0.05,0.01,200,0.5461279461279461,238,27,573,647
False,0.05,0.01,200,0.5454545454545454,229,19,581,656
False,0.05,0.01,200,0.5535353535353535,244,22,578,641
False,0.05,0.01,200,0.5764309764309764,267,11,589,618
False,0.05,0.01,200,0.6013468013468013,303,10,590,582
False,0.05,0.01,200,0.45252525252525255,109,37,563,776
False,0.05,0.01,200,0.5144781144781145,180,16,584,705
False,0.05,0.01,200,0.4821548821548821,150,34,566,735
False,0.05,0.01,200,0.52996632996633,189,2,598,696
False,0.05,0.01,200,0.5757575757575757,282,27,573,603
False,0.05,0.01,200,0.4949494949494949,168,33,567,717
False,0.05,0.01,200,0.4639730639730639,113,24,576,772
False,0.05,0.01,200,0.5447811447811448,214,5,595,671
False,0.05,0.01,200,0.5757575757575757,287,32,568,598
False,0.05,0.01,200,0.6188552188552189,340,21,579,545
False,0.05,0.01,200,0.5037037037037038,174,26,574,711
False,0.05,0.01,200,0.5353535353535354,233,38,562,652
False,0.05,0.01,200,0.5784511784511784,283,24,576,602
False,0.05,0.01,200,0.5306397306397306,200,12,588,685
False,0.05,0.01,200,0.5838383838383838,275,8,592,610
False,0.05,0.01,200,0.5380471380471381,214,15,585,671
False,0.05,0.01,200,0.5925925925925926,289,9,591,596
False,0.05,0.01,200,0.5427609427609428,215,9,591,670
False,0.05,0.01,200,0.531986531986532,198,8,592,687
False,0.05,0.01,200,0.5643097643097643,269,31,569,616
False,0.05,0.01,200,0.52996632996633,198,11,589,687
False,0.05,0.01,200,0.5171717171717172,187,19,581,698
False,0.05,0.01,200,0.567003367003367,257,15,585,628
False,0.05,0.01,200,0.5683501683501684,252,8,592,633
False,0.05,0.01,200,0.5818181818181818,282,18,582,603
False,0.05,0.01,200,0.567003367003367,261,19,581,624
False,0.05,0.01,200,0.5629629629629629,244,8,592,641
False,0.05,0.01,200,0.5286195286195285,211,26,574,674
False,0.05,0.01,200,0.5515151515151515,242,23,577,643
False,0.05,0.01,200,0.5333333333333333,203,11,589,682
False,0.05,0.01,200,0.5481481481481482,221,7,593,664
False,0.05,0.01,200,0.5218855218855218,190,15,585,695
False,0.05,0.01,200,0.5542087542087542,232,9,591,653
False,0.05,0.01,200,0.5582491582491582,251,22,578,634
False,0.05,0.01,200,0.5851851851851853,289,20,580,596
False,0.05,0.01,200,0.5265993265993266,201,19,581,684
False,0.05,0.01,200,0.5542087542087542,228,5,595,657
False,0.05,0.01,200,0.5629629629629629,254,18,582,631
False,0.05,0.01,200,0.5629629629629629,253,17,583,632
False,0.05,0.01,200,0.5892255892255892,293,18,582,592
False,0.05,0.05,200,0.6121212121212121,325,16,584,560
False,0.05,0.05,200,0.5872053872053873,282,10,590,603
False,0.05,0.05,200,0.5232323232323233,211,34,566,674
False,0.05,0.05,200,0.5791245791245792,274,14,586,611
False,0.05,0.05,200,0.5225589225589226,196,20,580,689
False,0.05,0.05,200,0.49764309764309766,152,13,587,733
False,0.05,0.05,200,0.5104377104377105,161,3,597,724
False,0.05,0.05,200,0.48888888888888893,143,17,583,742
False,0.05,0.05,200,0.49696969696969695,148,10,590,737
False,0.05,0.05,200,0.5306397306397306,223,35,565,662
False,0.05,0.05,200,0.5528619528619529,236,15,585,649
False,0.05,0.05,200,0.5447811447811448,213,4,596,672
False,0.05,0.05,200,0.5313131313131313,211,22,578,674
False,0.05,0.05,200,0.5265993265993266,187,5,595,698
False,0.05,0.05,200,0.48417508417508415,129,10,590,756
False,0.05,0.05,200,0.4922558922558923,173,42,558,712
False,0.05,0.05,200,0.5171717171717172,205,37,563,680
False,0.05,0.05,200,0.5622895622895623,265,30,570,620
False,0.05,0.05,200,0.5151515151515151,187,22,578,698
False,0.05,0.05,200,0.6269360269360269,333,2,598,552
False,0.05,0.05,200,0.5272727272727273,201,18,582,684
False,0.05,0.05,200,0.5447811447811448,223,14,586,662
False,0.05,0.05,200,0.567003367003367,251,9,591,634
False,0.05,0.05,200,0.4949494949494949,147,12,588,738
False,0.05,0.05,200,0.6154882154882155,326,12,588,559
False,0.05,0.05,200,0.5360269360269361,221,25,575,664
False,0.05,0.05,200,0.5400673400673401,209,7,593,676
False,0.05,0.05,200,0.5676767676767677,255,12,588,630
False,0.05,0.05,200,0.5932659932659933,290,9,591,595
False,0.05,0.05,200,0.4760942760942761,112,5,595,773
False,0.05,0.05,200,0.5225589225589226,195,19,581,690
False,0.05,0.05,200,0.4612794612794613,124,39,561,761
False,0.05,0.05,200,0.4734006734006734,109,6,594,776
False,0.05,0.05,200,0.5474747474747474,219,6,594,666
False,0.05,0.05,200,0.5777777777777777,263,5,595,622
False,0.05,0.05,200,0.569023569023569,260,15,585,625
False,0.05,0.05,200,0.5494949494949495,240,24,576,645
False,0.05,0.05,200,0.5212121212121212,201,27,573,684
False,0.05,0.05,200,0.48484848484848486,140,20,580,745
False,0.05,0.05,200,0.531986531986532,213,23,577,672
False,0.05,0.05,200,0.4801346801346801,136,23,577,749
False,0.05,0.05,200,0.5037037037037038,180,32,568,705
False,0.05,0.05,200,0.5838383838383838,292,25,575,593
False,0.05,0.05,200,0.5589225589225589,250,20,580,635
