linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.01,200,0.5589225589225589,268,38,562,617
False,0.01,0.01,200,0.7542087542087542,523,3,597,362
False,0.01,0.01,200,0.6181818181818182,332,14,586,553
False,0.01,0.01,200,0.696969696969697,457,22,578,428
False,0.01,0.01,200,0.5521885521885521,232,12,588,653
False,0.01,0.01,200,0.5898989898989899,296,20,580,589
False,0.01,0.01,200,0.661952861952862,411,28,572,474
False,0.01,0.01,200,0.6451178451178451,395,37,563,490
False,0.01,0.01,200,0.6282828282828283,380,47,553,505
False,0.01,0.01,200,0.6033670033670033,318,22,578,567
False,0.01,0.01,200,0.5138047138047138,187,24,576,698
False,0.01,0.01,200,0.6841750841750842,438,22,578,447
False,0.01,0.01,200,0.5757575757575757,281,26,574,604
False,0.01,0.01,200,0.6673400673400673,416,25,575,469
False,0.01,0.01,200,0.5797979797979798,308,47,553,577
False,0.01,0.01,200,0.5212121212121212,182,8,592,703
False,0.01,0.01,200,0.635016835016835,384,41,559,501
False,0.01,0.01,200,0.67003367003367,428,33,567,457
False,0.01,0.01,200,0.6087542087542088,306,2,598,579
False,0.01,0.01,200,0.4626262626262626,106,19,581,779
False,0.01,0.01,200,0.6922558922558922,432,4,596,453
False,0.01,0.01,200,0.5306397306397306,225,37,563,660
False,0.01,0.01,200,0.5750841750841751,266,12,588,619
False,0.01,0.01,200,0.5326599326599326,229,38,562,656
False,0.01,0.01,200,0.6585858585858586,400,22,578,485
False,0.01,0.01,200,0.6996632996632997,466,27,573,419
False,0.01,0.01,200,0.5468013468013468,240,28,572,645
False,0.01,0.01,200,0.6067340067340068,336,35,565,549
False,0.01,0.01,200,0.49629629629629635,207,70,530,678
False,0.01,0.01,200,0.6653198653198653,424,36,564,461
False,0.01,0.01,200,0.5973063973063972,291,4,596,594
False,0.01,0.01,200,0.5508417508417509,272,54,546,613
False,0.01,0.01,200,0.4949494949494949,193,58,542,692
False,0.01,0.01,200,0.5104377104377105,166,8,592,719
False,0.01,0.01,200,0.6370370370370371,346,0,600,539
False,0.01,0.01,200,0.5629629629629629,276,40,560,609
False,0.01,0.01,200,0.4727272727272728,125,23,577,760
False,0.01,0.01,200,0.5622895622895623,251,16,584,634
False,0.01,0.01,200,0.5084175084175084,160,5,595,725
False,0.01,0.01,200,0.6343434343434343,370,28,572,515
False,0.01,0.01,200,0.5292929292929294,240,54,546,645
False,0.01,0.01,200,0.4929292929292929,139,7,593,746
False,0.01,0.01,200,0.5925925925925926,290,10,590,595
False,0.01,0.01,200,0.7353535353535354,514,22,578,371
False,0.01,0.01,200,0.4949494949494949,135,0,600,750
False,0.01,0.01,200,0.632996632996633,350,10,590,535
False,0.01,0.01,200,0.507070707070707,177,24,576,708
False,0.01,0.01,200,0.5656565656565656,274,34,566,611
False,0.01,0.01,200,0.5811447811447812,279,16,584,606
False,0.01,0.01,200,0.5838383838383838,272,5,595,613
False,0.01,0.05,200,0.6195286195286196,352,32,568,533
False,0.01,0.05,200,0.4626262626262626,118,31,569,767
False,0.01,0.05,200,0.6471380471380471,404,43,557,481
False,0.01,0.05,200,0.5400673400673401,209,7,593,676
False,0.01,0.05,200,0.6148148148148148,348,35,565,537
False,0.01,0.05,200,0.5528619528619529,257,36,564,628
False,0.01,0.05,200,0.5393939393939393,204,3,597,681
False,0.01,0.05,200,0.6713804713804714,415,18,582,470
False,0.01,0.05,200,0.6828282828282828,451,37,563,434
False,0.01,0.05,200,0.6942760942760943,446,15,585,439
False,0.01,0.05,200,0.6249158249158249,376,48,552,509
False,0.01,0.05,200,0.4922558922558923,171,40,560,714
False,0.01,0.05,200,0.6316498316498316,372,34,566,513
False,0.01,0.05,200,0.4868686868686869,162,39,561,723
False,0.01,0.05,200,0.5488215488215489,260,45,555,625
False,0.01,0.05,200,0.6215488215488216,360,37,563,525
False,0.01,0.05,200,0.5797979797979798,298,37,563,587
False,0.01,0.05,200,0.6397306397306397,369,19,581,516
False,0.01,0.05,200,0.6296296296296297,348,13,587,537
False,0.01,0.05,200,0.6457912457912458,390,31,569,495
False,0.01,0.05,200,0.5764309764309764,286,30,570,599
False,0.01,0.05,200,0.6545454545454545,384,12,588,501
False,0.01,0.05,200,0.661952861952862,393,10,590,492
False,0.01,0.05,200,0.6606060606060606,393,12,588,492
False,0.01,0.05,200,0.6316498316498316,340,2,598,545
False,0.01,0.05,200,0.5245791245791246,216,37,563,669
False,0.01,0.05,200,0.5851851851851853,297,28,572,588
