train_lin,b,d,KME,E,K,n_samples,n_distributions,score,trueneg,falseneg,truepos,falsepos
False,0.1,0.1,4,500,500,50,500,0.7042124542124543,1444,899,2401,716
False,0.1,0.1,4,500,500,50,500,0.6694139194139194,883,528,2772,1277
False,0.1,0.1,4,500,500,50,500,0.6078754578754578,1073,1054,2246,1087
False,0.1,0.1,4,500,500,50,500,0.6816849816849817,1339,917,2383,821
False,0.1,0.1,4,500,500,50,500,0.6776556776556777,1238,838,2462,922
False,0.1,0.1,4,500,500,50,500,0.7086080586080586,1162,593,2707,998
False,0.1,0.1,4,500,500,50,500,0.7456043956043956,1591,820,2480,569
False,0.1,0.1,4,500,500,50,500,0.6992673992673992,1066,548,2752,1094
False,0.1,0.1,4,500,500,50,500,0.735897435897436,1215,497,2803,945
False,0.1,0.1,4,500,500,50,500,0.6666666666666666,1148,808,2492,1012
False,0.1,0.1,4,500,500,50,500,0.7384615384615385,1452,720,2580,708
False,0.1,0.1,4,500,500,50,500,0.6324175824175824,1279,1126,2174,881
False,0.1,0.1,4,500,500,50,500,0.6626373626373626,1225,907,2393,935
False,0.1,0.1,4,500,500,50,500,0.7155677655677656,1512,905,2395,648
False,0.1,0.1,4,500,500,50,500,0.641941391941392,1447,1242,2058,713
False,0.1,0.1,4,500,500,50,500,0.7626373626373626,1702,838,2462,458
False,0.1,0.1,4,500,500,50,500,0.6804029304029304,1304,889,2411,856
False,0.1,0.1,4,500,500,50,500,0.6602564102564102,1257,952,2348,903
False,0.1,0.1,4,500,500,50,500,0.8135531135531135,1953,811,2489,207
False,0.1,0.1,4,500,500,50,500,0.7045787545787546,1444,897,2403,716
False,0.1,0.1,4,500,500,50,500,0.6831501831501832,1304,874,2426,856
False,0.1,0.1,4,500,500,50,500,0.6527472527472528,1015,751,2549,1145
False,0.1,0.1,4,500,500,50,500,0.7192307692307692,1678,1051,2249,482
False,0.1,0.1,4,500,500,50,500,0.6846153846153846,1197,759,2541,963
False,0.1,0.1,4,500,500,50,500,0.6448717948717949,1523,1302,1998,637
False,0.1,0.1,4,500,500,50,500,0.6509157509157509,1003,749,2551,1157
False,0.1,0.1,4,500,500,50,500,0.615934065934066,1342,1279,2021,818
False,0.1,0.1,4,500,500,50,500,0.6410256410256411,1128,928,2372,1032
False,0.1,0.1,4,500,500,50,500,0.7492673992673993,1432,641,2659,728
False,0.1,0.1,4,500,500,50,500,0.710989010989011,1131,549,2751,1029
False,0.1,0.1,4,500,500,50,500,0.6752747252747253,1243,856,2444,917
False,0.1,0.1,4,500,500,50,500,0.7051282051282052,1383,833,2467,777
False,0.1,0.1,4,500,500,50,500,0.6798534798534799,828,416,2884,1332
False,0.1,0.1,4,500,500,50,500,0.6263736263736264,1138,1018,2282,1022
False,0.1,0.1,4,500,500,50,500,0.7080586080586081,1645,1079,2221,515
False,0.1,0.1,4,500,500,50,500,0.667032967032967,1418,1076,2224,742
False,0.1,0.1,4,500,500,50,500,0.758058608058608,1451,612,2688,709
False,0.1,0.1,4,500,500,50,500,0.7091575091575092,1514,942,2358,646
False,0.1,0.1,4,500,500,50,500,0.6998168498168498,1187,666,2634,973
False,0.1,0.1,4,500,500,50,500,0.6706959706959706,1305,943,2357,855
False,0.1,0.1,4,500,500,50,500,0.6503663003663004,994,743,2557,1166
False,0.1,0.1,4,500,500,50,500,0.6864468864468865,933,485,2815,1227
False,0.1,0.1,4,500,500,50,500,0.5703296703296703,1068,1254,2046,1092
False,0.1,0.1,4,500,500,50,500,0.6791208791208792,1581,1173,2127,579
False,0.1,0.1,4,500,500,50,500,0.6886446886446886,1377,917,2383,783
False,0.1,0.1,4,500,500,50,500,0.7615384615384615,1673,815,2485,487
False,0.1,0.1,4,500,500,50,500,0.602014652014652,639,652,2648,1521
False,0.1,0.1,4,500,500,50,500,0.7802197802197802,1696,736,2564,464
False,0.1,0.1,4,500,500,50,500,0.6972527472527472,1454,947,2353,706
False,0.1,0.1,4,500,500,50,500,0.7087912087912088,1307,737,2563,853
False,0.1,0.1,4,500,500,50,500,0.6921245421245421,1207,728,2572,953
False,0.1,0.1,4,500,500,50,500,0.643956043956044,1204,988,2312,956
False,0.1,0.1,4,500,500,50,500,0.6503663003663004,1398,1147,2153,762
False,0.1,0.1,4,500,500,50,500,0.6968864468864469,925,420,2880,1235
False,0.1,0.1,4,500,500,50,500,0.6565934065934066,1329,1044,2256,831
False,0.1,0.1,4,500,500,50,500,0.6056776556776556,1628,1621,1679,532
False,0.1,0.1,4,500,500,50,500,0.6675824175824175,943,598,2702,1217
False,0.1,0.1,4,500,500,50,500,0.7316849816849816,1552,857,2443,608
False,0.1,0.1,4,500,500,50,500,0.7525641025641026,1467,658,2642,693
False,0.1,0.1,4,500,500,50,500,0.7598901098901099,1570,721,2579,590
False,0.1,0.1,4,500,500,50,500,0.7296703296703296,1792,1108,2192,368
False,0.1,0.1,4,500,500,50,500,0.7430402930402931,1223,466,2834,937
False,0.1,0.1,4,500,500,50,500,0.6734432234432235,1414,1037,2263,746
False,0.1,0.1,4,500,500,50,500,0.6901098901098901,1066,598,2702,1094
False,0.1,0.1,4,500,500,50,500,0.6571428571428571,1430,1142,2158,730
False,0.1,0.1,4,500,500,50,500,0.6776556776556777,1322,922,2378,838
False,0.1,0.1,4,500,500,50,500,0.6972527472527472,1698,1191,2109,462
False,0.1,0.1,4,500,500,50,500,0.7128205128205128,1457,865,2435,703
False,0.1,0.1,4,500,500,50,500,0.7043956043956044,1520,974,2326,640
False,0.1,0.1,4,500,500,50,500,0.7076923076923077,1500,936,2364,660
