train_lin,b,d,KME,E,K,n_samples,n_distributions,score,trueneg,falseneg,truepos,falsepos
False,0.1,0.1,4,500,500,1000,1,0.7457172342621259,6971,2680,3868,1016
False,0.1,0.1,4,500,500,1000,1,0.7180598555211558,6843,2954,3594,1144
False,0.1,0.1,4,500,500,1000,1,0.7447540419676643,6757,2480,4068,1230
False,0.1,0.1,4,500,500,1000,1,0.7301685586515307,6923,2858,3690,1064
False,0.1,0.1,4,500,500,1000,1,0.7433092535259718,7037,2781,3767,950
False,0.1,0.1,4,500,500,1000,1,0.7361541107671139,6800,2648,3900,1187
False,0.1,0.1,4,500,500,1000,1,0.7193670450636395,6898,2990,3558,1089
False,0.1,0.1,4,500,500,1000,1,0.741314069487444,7050,2823,3725,937
False,0.1,0.1,4,500,500,1000,1,0.7219814241486068,6927,2981,3567,1060
False,0.1,0.1,4,500,500,1000,1,0.6773993808049535,6873,3575,2973,1114
False,0.1,0.1,4,500,500,1000,11,0.7098727210182318,7145,3375,3173,842
False,0.1,0.1,4,500,500,1000,11,0.6991400068799449,7238,3624,2924,749
False,0.1,0.1,4,500,500,1000,11,0.6987960096319229,7189,3580,2968,798
False,0.1,0.1,4,500,500,1000,11,0.702717578259374,7173,3507,3041,814
False,0.1,0.1,4,500,500,1000,11,0.708359133126935,7250,3502,3046,737
False,0.1,0.1,4,500,500,1000,11,0.7082215342277262,7253,3507,3041,734
False,0.1,0.1,4,500,500,1000,11,0.6987272101823185,7298,3690,2858,689
False,0.1,0.1,4,500,500,1000,11,0.7054007567939456,7312,3607,2941,675
False,0.1,0.1,4,500,500,1000,11,0.7093223254213966,7253,3491,3057,734
False,0.1,0.1,4,500,500,1000,11,0.6458892328861369,7167,4327,2221,820
False,0.1,0.1,4,500,500,1000,21,0.7464740282077743,6956,2654,3894,1031
False,0.1,0.1,4,500,500,1000,21,0.7170966632266942,6902,3027,3521,1085
False,0.1,0.1,4,500,500,1000,21,0.7454420364637083,6733,2446,4102,1254
False,0.1,0.1,4,500,500,1000,21,0.7364293085655315,6972,2816,3732,1015
False,0.1,0.1,4,500,500,1000,21,0.7357413140694874,7102,2956,3592,885
False,0.1,0.1,4,500,500,1000,21,0.7401444788441692,6838,2628,3920,1149
