linear,b,d,n_samples,alpha,accuracy,trueneg,falseneg,truepos,falsepos,model_count
False,0.1,0.1,50,0.001,0.6067765567765568,13,0,3300,2147,0
False,0.1,0.1,50,0.005,0.6100732600732601,34,3,3297,2126,0
False,0.1,0.1,50,0.01,0.6146520146520147,63,7,3293,2097,0
False,0.1,0.1,50,0.05,0.6448717948717948,284,63,3237,1876,0
False,0.1,0.1,50,0.1,0.6796703296703297,540,129,3171,1620,0
False,0.1,0.1,50,0.001,0.604945054945055,3,0,3300,2157,0
False,0.1,0.1,50,0.005,0.6080586080586081,25,5,3295,2135,0
False,0.1,0.1,50,0.01,0.6108058608058609,40,5,3295,2120,0
False,0.1,0.1,50,0.05,0.6327838827838828,190,35,3265,1970,0
False,0.1,0.1,50,0.1,0.6677655677655678,436,90,3210,1724,0
False,0.1,0.1,50,0.001,0.6045787545787547,1,0,3300,2159,0
False,0.1,0.1,50,0.005,0.606959706959707,17,3,3297,2143,0
False,0.1,0.1,50,0.01,0.610989010989011,41,5,3295,2119,0
False,0.1,0.1,50,0.05,0.6316849816849817,202,53,3247,1958,0
False,0.1,0.1,50,0.1,0.6611721611721612,440,130,3170,1720,0
False,0.1,0.1,50,0.001,0.6124542124542125,44,0,3300,2116,0
False,0.1,0.1,50,0.005,0.6243589743589744,112,3,3297,2048,0
False,0.1,0.1,50,0.01,0.6298534798534798,146,7,3293,2014,0
False,0.1,0.1,50,0.05,0.6586080586080586,342,46,3254,1818,0
False,0.1,0.1,50,0.1,0.6835164835164835,548,116,3184,1612,0
False,0.1,0.1,50,0.001,0.6053113553113554,5,0,3300,2155,0
False,0.1,0.1,50,0.005,0.611904761904762,42,1,3299,2118,0
False,0.1,0.1,50,0.01,0.6142857142857143,61,7,3293,2099,0
False,0.1,0.1,50,0.05,0.6358974358974359,223,51,3249,1937,0
False,0.1,0.1,50,0.1,0.6635531135531135,459,136,3164,1701,0
False,0.1,0.1,50,0.001,0.6053113553113554,7,2,3298,2153,0
False,0.1,0.1,50,0.005,0.6076923076923078,34,16,3284,2126,0
False,0.1,0.1,50,0.01,0.6075091575091576,54,37,3263,2106,0
False,0.1,0.1,50,0.05,0.6115384615384616,195,156,3144,1965,0
False,0.1,0.1,50,0.1,0.6265567765567766,386,265,3035,1774,0
False,0.1,0.1,50,0.001,0.6060439560439561,13,4,3296,2147,0
False,0.1,0.1,50,0.005,0.6100732600732601,53,22,3278,2107,0
False,0.1,0.1,50,0.01,0.613919413919414,95,43,3257,2065,0
False,0.1,0.1,50,0.05,0.6190476190476191,245,165,3135,1915,0
False,0.1,0.1,50,0.1,0.6272893772893773,420,295,3005,1740,0
False,0.1,0.1,50,0.001,0.6064102564102565,11,0,3300,2149,0
False,0.1,0.1,50,0.005,0.6073260073260074,27,11,3289,2133,0
False,0.1,0.1,50,0.01,0.6080586080586081,49,29,3271,2111,0
False,0.1,0.1,50,0.05,0.6113553113553114,191,153,3147,1969,0
False,0.1,0.1,50,0.1,0.6236263736263736,379,274,3026,1781,0
False,0.1,0.1,50,0.001,0.6043956043956045,0,0,3300,2160,0
False,0.1,0.1,50,0.005,0.6042124542124543,3,4,3296,2157,0
False,0.1,0.1,50,0.01,0.6038461538461539,9,12,3288,2151,0
False,0.1,0.1,50,0.05,0.6131868131868132,131,83,3217,2029,0
False,0.1,0.1,50,0.1,0.6227106227106227,314,214,3086,1846,0
False,0.1,0.1,50,0.001,0.6043956043956045,0,0,3300,2160,0
False,0.1,0.1,50,0.005,0.6058608058608059,8,0,3300,2152,0
False,0.1,0.1,50,0.01,0.6078754578754579,22,3,3297,2138,0
False,0.1,0.1,50,0.05,0.6294871794871795,167,30,3270,1993,0
False,0.1,0.1,50,0.1,0.660989010989011,398,89,3211,1762,0
False,0.1,0.1,100,0.001,0.6227106227106227,155,55,3245,2005,0
False,0.1,0.1,100,0.005,0.632051282051282,254,103,3197,1906,0
False,0.1,0.1,100,0.01,0.6386446886446886,321,134,3166,1839,0
False,0.1,0.1,100,0.05,0.6542124542124542,566,294,3006,1594,0
False,0.1,0.1,100,0.1,0.6650183150183151,776,445,2855,1384,0
False,0.1,0.1,100,0.001,0.6133699633699634,53,4,3296,2107,0
False,0.1,0.1,100,0.005,0.6210622710622711,112,21,3279,2048,0
False,0.1,0.1,100,0.01,0.6357142857142857,206,35,3265,1954,0
False,0.1,0.1,100,0.05,0.6937728937728938,645,157,3143,1515,0
False,0.1,0.1,100,0.1,0.7128205128205128,919,327,2973,1241,0
False,0.1,0.1,100,0.001,0.6183150183150183,76,0,3300,2084,0
False,0.1,0.1,100,0.005,0.6368131868131868,177,0,3300,1983,0
False,0.1,0.1,100,0.01,0.6547619047619048,276,1,3299,1884,0
False,0.1,0.1,100,0.05,0.7320512820512821,716,19,3281,1444,0
False,0.1,0.1,100,0.1,0.7860805860805861,1038,46,3254,1122,0
False,0.1,0.1,100,0.001,0.6108058608058609,35,0,3300,2125,0
False,0.1,0.1,100,0.005,0.6221611721611722,99,2,3298,2061,0
False,0.1,0.1,100,0.01,0.6322344322344322,159,7,3293,2001,0
False,0.1,0.1,100,0.05,0.6941391941391941,545,55,3245,1615,0
False,0.1,0.1,100,0.1,0.7302197802197803,837,150,3150,1323,0
False,0.1,0.1,100,0.001,0.6164835164835165,71,5,3295,2089,0
False,0.1,0.1,100,0.005,0.6263736263736264,137,17,3283,2023,0
False,0.1,0.1,100,0.01,0.6362637362637362,207,33,3267,1953,0
