train_lin,b,d,KME,E,K,n_samples,n_distributions,best_score,mean_score,var_score
[False],0.01,0.01,4,1000,400,200,4000,0.8276094276094276,76.22895622895622,3.715927181500715
[False],0.01,0.05,4,1000,400,200,4000,0.8161616161616162,74.86868686868686,4.122928275412288
[False],0.05,0.01,4,1000,400,200,4000,0.8127946127946128,74.61279461279462,3.834719734976235
[False],0.05,0.05,4,1000,400,200,4000,0.8161616161616162,74.86868686868686,4.122928275412288
[False],0.01,0.01,4,1000,400,500,4000,0.8309764309764309,79.93939393939394,1.9218364437045468
[False],0.01,0.05,4,1000,400,500,4000,0.826936026936027,80.30976430976432,1.3824245032033766
[False],0.05,0.01,4,1000,400,500,4000,0.8309764309764309,79.93939393939394,1.9218364437045468
[False],0.05,0.05,4,1000,400,500,4000,0.826936026936027,80.30976430976432,1.3824245032033766
[False],0.01,0.01,4,1000,400,1000,4000,0.8094276094276094,78.16161616161617,1.378104236397478
[False],0.01,0.05,4,1000,400,1000,4000,0.8141414141414142,79.07070707070707,1.261903272241636
[False],0.05,0.01,4,1000,400,1000,4000,0.8094276094276094,78.16161616161617,1.378104236397478
[False],0.05,0.05,4,1000,400,1000,4000,0.8141414141414142,79.07070707070707,1.261903272241636
[False],0.01,0.01,4,1000,400,2000,4000,0.8424242424242424,79.44107744107744,2.8034908267711094
[False],0.01,0.05,4,1000,400,2000,4000,0.8437710437710437,79.95286195286195,3.6787712995100703
[False],0.05,0.01,4,1000,400,2000,4000,0.8424242424242424,79.44107744107744,2.8034908267711094
[False],0.05,0.05,4,1000,400,2000,4000,0.8437710437710437,79.95286195286195,3.6787712995100703
