linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.01,200,0.5555555555555556,252,27,573,633
False,0.01,0.01,200,0.593939393939394,316,34,566,569
False,0.01,0.01,200,0.5387205387205387,237,37,563,648
False,0.01,0.01,200,0.5602693602693603,237,5,595,648
False,0.01,0.01,200,0.5057239057239058,186,35,565,699
False,0.01,0.01,200,0.5696969696969697,261,15,585,624
False,0.01,0.01,200,0.5602693602693603,243,11,589,642
False,0.01,0.01,200,0.5077441077441077,185,31,569,700
False,0.01,0.01,200,0.5797979797979798,268,7,593,617
False,0.01,0.01,200,0.5239057239057239,189,11,589,696
False,0.01,0.01,200,0.5488215488215489,237,22,578,648
False,0.01,0.01,200,0.5043771043771044,165,16,584,720
False,0.01,0.01,200,0.5023569023569023,164,18,582,721
False,0.01,0.01,200,0.5885521885521885,307,33,567,578
False,0.01,0.01,200,0.5393939393939393,213,12,588,672
False,0.01,0.01,200,0.5663299663299664,254,13,587,631
False,0.01,0.01,200,0.5306397306397306,218,30,570,667
False,0.01,0.01,200,0.4693602693602693,111,14,586,774
False,0.01,0.01,200,0.5245791245791246,191,12,588,694
False,0.01,0.01,200,0.5441077441077441,231,23,577,654
False,0.01,0.01,200,0.5501683501683502,228,11,589,657
False,0.01,0.01,200,0.6114478114478115,315,7,593,570
False,0.01,0.01,200,0.5387205387205387,235,35,565,650
False,0.01,0.01,200,0.4861952861952862,163,41,559,722
False,0.01,0.01,200,0.5548821548821549,236,12,588,649
False,0.01,0.01,200,0.49158249158249157,147,17,583,738
False,0.01,0.01,200,0.4821548821548821,127,11,589,758
False,0.01,0.01,200,0.5521885521885521,244,24,576,641
False,0.01,0.01,200,0.5494949494949495,236,20,580,649
False,0.01,0.01,200,0.5872053872053873,301,29,571,584
False,0.01,0.01,200,0.674074074074074,410,9,591,475
False,0.01,0.01,200,0.608080808080808,304,1,599,581
False,0.01,0.01,200,0.5037037037037038,163,15,585,722
False,0.01,0.01,200,0.5151515151515151,192,27,573,693
False,0.01,0.01,200,0.5595959595959596,237,6,594,648
False,0.01,0.01,200,0.6538720538720539,397,26,574,488
False,0.01,0.01,200,0.5023569023569023,146,0,600,739
False,0.01,0.01,200,0.5407407407407407,207,4,596,678
False,0.01,0.01,200,0.5353535353535354,220,25,575,665
False,0.01,0.01,200,0.571043771043771,259,11,589,626
False,0.01,0.01,200,0.5367003367003367,220,23,577,665
False,0.01,0.01,200,0.49764309764309766,165,26,574,720
False,0.01,0.01,200,0.509090909090909,191,35,565,694
False,0.01,0.01,200,0.4942760942760943,173,39,561,712
False,0.01,0.01,200,0.5023569023569023,157,11,589,728
False,0.01,0.01,200,0.5306397306397306,214,26,574,671
False,0.01,0.01,200,0.5306397306397306,201,13,587,684
False,0.01,0.01,200,0.5528619528619529,231,10,590,654
False,0.01,0.01,200,0.5515151515151515,255,36,564,630
False,0.01,0.01,200,0.5474747474747474,219,6,594,666
False,0.01,0.05,200,0.5239057239057239,199,21,579,686
False,0.01,0.05,200,0.45319865319865316,86,13,587,799
False,0.01,0.05,200,0.48350168350168354,139,21,579,746
False,0.01,0.05,200,0.5164983164983166,174,7,593,711
False,0.01,0.05,200,0.5488215488215489,223,8,592,662
False,0.01,0.05,200,0.5501683501683502,242,25,575,643
False,0.01,0.05,200,0.5286195286195285,197,12,588,688
False,0.01,0.05,200,0.5353535353535354,214,19,581,671
False,0.01,0.05,200,0.5232323232323233,204,27,573,681
False,0.01,0.05,200,0.5717171717171717,267,18,582,618
False,0.01,0.05,200,0.5649831649831649,256,17,583,629
False,0.01,0.05,200,0.6276094276094276,340,8,592,545
False,0.01,0.05,200,0.5629629629629629,239,3,597,646
False,0.01,0.05,200,0.5387205387205387,211,11,589,674
False,0.01,0.05,200,0.5656565656565656,254,14,586,631
False,0.01,0.05,200,0.5434343434343434,232,25,575,653
False,0.01,0.05,200,0.45185185185185184,108,37,563,777
False,0.01,0.05,200,0.4794612794612795,133,21,579,752
False,0.01,0.05,200,0.5191919191919192,207,36,564,678
False,0.01,0.05,200,0.5629629629629629,257,21,579,628
False,0.01,0.05,200,0.5468013468013468,238,26,574,647
False,0.01,0.05,200,0.5515151515151515,246,27,573,639
False,0.01,0.05,200,0.5777777777777777,286,28,572,599
False,0.01,0.05,200,0.5468013468013468,226,14,586,659
False,0.01,0.05,200,0.5818181818181818,264,0,600,621
False,0.01,0.05,200,0.6067340067340068,313,12,588,572
False,0.01,0.05,200,0.5791245791245792,285,25,575,600
False,0.01,0.05,200,0.5387205387205387,227,27,573,658
False,0.01,0.05,200,0.4498316498316498,105,37,563,780
False,0.01,0.05,200,0.4882154882154882,144,19,581,741
False,0.01,0.05,200,0.5252525252525253,200,20,580,685
False,0.01,0.05,200,0.5784511784511784,272,13,587,613
False,0.01,0.05,200,0.5946127946127946,287,4,596,598
False,0.01,0.05,200,0.5555555555555556,241,16,584,644
False,0.01,0.05,200,0.6181818181818182,337,19,581,548
False,0.01,0.05,200,0.5414141414141413,211,7,593,674
False,0.01,0.05,200,0.5232323232323233,219,42,558,666
False,0.01,0.05,200,0.5286195286195285,206,21,579,679
False,0.01,0.05,200,0.5077441077441077,157,3,597,728
False,0.01,0.05,200,0.48282828282828283,146,29,571,739
False,0.01,0.05,200,0.6249158249158249,347,19,581,538
